season,eligible_fbs_games,both_sr_nogt,missing_nogt,coverage_pct_nogt,both_sr_all,missing_all,coverage_pct_all
1998,627,0,627,0.0,0,627,0.0
1999,633,0,633,0.0,0,633,0.0
2000,646,0,646,0.0,0,646,0.0
2001,652,402,250,61.66,402,250,61.66
2002,707,31,676,4.38,31,676,4.38
2003,699,462,237,66.09,462,237,66.09
2004,657,438,219,66.67,438,219,66.67
2005,664,563,101,84.79,563,101,84.79
2006,714,625,89,87.54,625,89,87.54
2007,712,642,70,90.17,642,70,90.17
2008,717,693,24,96.65,693,24,96.65
2009,714,699,15,97.9,699,15,97.9
2010,718,701,17,97.63,701,17,97.63
2011,715,707,8,98.88,708,7,99.02
2012,732,722,10,98.63,722,10,98.63
2013,737,737,0,100.0,737,0,100.0
2014,760,744,16,97.89,744,16,97.89
2015,765,758,7,99.08,758,7,99.08
2016,760,747,13,98.29,747,13,98.29
2017,776,772,4,99.48,772,4,99.48
2018,772,770,2,99.74,770,2,99.74
2019,774,773,1,99.87,773,1,99.87
2020,534,534,0,100.0,534,0,100.0
2021,770,770,0,100.0,770,0,100.0
2022,776,776,0,100.0,776,0,100.0
2023,792,792,0,100.0,792,0,100.0
2024,798,794,4,99.5,794,4,99.5
2025,808,808,0,100.0,808,0,100.0
2026,157,157,0,100.0,157,0,100.0
