category,game_id,season,date,home,away,home_score,away_score,winner_srdiff,margin,mov_multiplier_neutral,sr_multiplier_lead
winner lost Success Rate (SRDiff_winner < 0),312440098,2011,2011-09-02,Western Kentucky,Kentucky,3,14,-0.191,11,2.485,0.447
winner lost Success Rate (SRDiff_winner < 0),312440183,2011,2011-09-02,Syracuse,Wake Forest,36,29,-0.0016,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312460002,2011,2011-09-03,Auburn,Utah State,42,38,-0.0339,4,1.609,0.981
winner lost Success Rate (SRDiff_winner < 0),312460087,2011,2011-09-03,Notre Dame,South Florida,20,23,-0.1418,3,1.386,0.572
winner lost Success Rate (SRDiff_winner < 0),312460167,2011,2011-09-03,New Mexico,Colorado State,10,14,-0.0781,4,1.609,0.786
winner lost Success Rate (SRDiff_winner < 0),312460221,2011,2011-09-03,Pittsburgh,Buffalo,35,16,-0.0576,19,2.996,0.871
winner lost Success Rate (SRDiff_winner < 0),312460228,2011,2011-09-03,Clemson,Troy,43,19,-0.0146,24,3.219,1.0
winner lost Success Rate (SRDiff_winner < 0),312460099,2011,2011-09-04,LSU,Oregon,40,27,-0.1246,13,2.639,0.623
winner lost Success Rate (SRDiff_winner < 0),312520097,2011,2011-09-09,Louisville,FIU,17,24,-0.044,7,2.079,0.932
winner lost Success Rate (SRDiff_winner < 0),312530002,2011,2011-09-10,Auburn,Mississippi State,41,34,-0.023,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312530038,2011,2011-09-10,Colorado,California,33,36,-0.0187,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312530061,2011,2011-09-10,Georgia,South Carolina,42,45,-0.127,3,1.386,0.616
winner lost Success Rate (SRDiff_winner < 0),312530084,2011,2011-09-10,Indiana,Virginia,31,34,-0.0039,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312530096,2011,2011-09-10,Kentucky,Central Michigan,27,13,-0.0769,14,2.708,0.791
winner lost Success Rate (SRDiff_winner < 0),312530098,2011,2011-09-10,Western Kentucky,Navy,14,40,-0.0297,26,3.296,1.0
winner lost Success Rate (SRDiff_winner < 0),312530154,2011,2011-09-10,Wake Forest,NC State,34,27,-0.012,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312530158,2011,2011-09-10,Nebraska,Fresno State,42,29,-0.1205,13,2.639,0.636
winner lost Success Rate (SRDiff_winner < 0),312530194,2011,2011-09-10,Ohio State,Toledo,27,22,-0.0923,5,1.792,0.732
winner lost Success Rate (SRDiff_winner < 0),312530238,2011,2011-09-10,Vanderbilt,UConn,24,21,-0.0867,3,1.386,0.753
winner lost Success Rate (SRDiff_winner < 0),312530264,2011,2011-09-10,Washington,Hawai'i,40,32,-0.0734,8,2.197,0.805
winner lost Success Rate (SRDiff_winner < 0),312530276,2011,2011-09-10,Marshall,Southern Miss,26,20,-0.013,6,1.946,1.0
winner lost Success Rate (SRDiff_winner < 0),312532305,2011,2011-09-10,Kansas,Northern Illinois,45,42,-0.0581,3,1.386,0.869
winner lost Success Rate (SRDiff_winner < 0),312530130,2011,2011-09-11,Michigan,Notre Dame,35,31,-0.2251,4,1.609,0.377
winner lost Success Rate (SRDiff_winner < 0),312590041,2011,2011-09-17,UConn,Iowa State,20,24,-0.043,4,1.609,0.937
winner lost Success Rate (SRDiff_winner < 0),312600008,2011,2011-09-17,Arkansas,Troy,38,28,-0.0077,10,2.398,1.0
winner lost Success Rate (SRDiff_winner < 0),312600153,2011,2011-09-17,North Carolina,Virginia,28,17,-0.0491,11,2.485,0.909
winner lost Success Rate (SRDiff_winner < 0),312600189,2011,2011-09-17,Bowling Green,Wyoming,27,28,-0.1369,1,0.693,0.586
winner lost Success Rate (SRDiff_winner < 0),312602229,2011,2011-09-17,FIU,UCF,17,10,-0.1156,7,2.079,0.652
winner lost Success Rate (SRDiff_winner < 0),312602348,2011,2011-09-17,Louisiana Tech,Houston,34,35,-0.1089,1,0.693,0.674
winner lost Success Rate (SRDiff_winner < 0),312602390,2011,2011-09-17,Miami (FL),Ohio State,24,6,-0.0075,18,2.944,1.0
winner lost Success Rate (SRDiff_winner < 0),312600252,2011,2011-09-18,BYU,Utah,10,54,-0.0471,44,3.807,0.918
winner lost Success Rate (SRDiff_winner < 0),312660252,2011,2011-09-24,BYU,UCF,24,17,-0.0739,7,2.079,0.803
winner lost Success Rate (SRDiff_winner < 0),312670023,2011,2011-09-24,San Jose State,New Mexico State,34,24,-0.07,10,2.398,0.819
winner lost Success Rate (SRDiff_winner < 0),312670070,2011,2011-09-24,Idaho,Fresno State,24,48,-0.0251,24,3.219,1.0
winner lost Success Rate (SRDiff_winner < 0),312670096,2011,2011-09-24,Kentucky,Florida,10,48,-0.0577,38,3.664,0.871
winner lost Success Rate (SRDiff_winner < 0),312670164,2011,2011-09-24,Rutgers,Ohio,38,26,-0.0522,12,2.565,0.895
winner lost Success Rate (SRDiff_winner < 0),312670183,2011,2011-09-24,Syracuse,Toledo,33,30,-0.018,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312670228,2011,2011-09-24,Clemson,Florida State,35,30,-0.061,5,1.792,0.856
winner lost Success Rate (SRDiff_winner < 0),312670258,2011,2011-09-24,Virginia,Southern Miss,24,30,-0.0762,6,1.946,0.794
winner lost Success Rate (SRDiff_winner < 0),312670264,2011,2011-09-24,Washington,California,31,23,-0.0049,8,2.197,1.0
winner lost Success Rate (SRDiff_winner < 0),312670344,2011,2011-09-24,Mississippi State,Louisiana Tech,26,20,-0.0112,6,1.946,1.0
winner lost Success Rate (SRDiff_winner < 0),312672084,2011,2011-09-24,Buffalo,UConn,3,17,-0.0364,14,2.708,0.968
winner lost Success Rate (SRDiff_winner < 0),312672229,2011,2011-09-24,FIU,Louisiana,31,36,-0.0307,5,1.792,0.996
winner lost Success Rate (SRDiff_winner < 0),312672390,2011,2011-09-24,Miami (FL),Kansas State,24,28,-0.058,4,1.609,0.869
winner lost Success Rate (SRDiff_winner < 0),312672641,2011,2011-09-24,Texas Tech,Nevada,35,34,-0.0499,1,0.693,0.905
winner lost Success Rate (SRDiff_winner < 0),312670009,2011,2011-09-25,Arizona State,USC,43,22,-0.1097,21,3.091,0.671
winner lost Success Rate (SRDiff_winner < 0),312670277,2011,2011-09-25,West Virginia,LSU,21,47,-0.0433,26,3.296,0.936
winner lost Success Rate (SRDiff_winner < 0),312670328,2011,2011-09-25,Utah State,Colorado State,34,35,-0.033,1,0.693,0.985
winner lost Success Rate (SRDiff_winner < 0),312740008,2011,2011-10-01,Arkansas,Texas A&M,42,38,-0.1017,4,1.609,0.699
winner lost Success Rate (SRDiff_winner < 0),312740030,2011,2011-10-01,USC,Arizona,48,41,-0.125,7,2.079,0.622
winner lost Success Rate (SRDiff_winner < 0),312740038,2011,2011-10-01,Colorado,Washington State,27,31,-0.0567,4,1.609,0.875
winner lost Success Rate (SRDiff_winner < 0),312740066,2011,2011-10-01,Iowa State,Texas,14,37,-0.1253,23,3.178,0.621
winner lost Success Rate (SRDiff_winner < 0),312740097,2011,2011-10-01,Louisville,Marshall,13,17,-0.0415,4,1.609,0.944
winner lost Success Rate (SRDiff_winner < 0),312740103,2011,2011-10-01,Boston College,Wake Forest,19,27,-0.0518,8,2.197,0.897
winner lost Success Rate (SRDiff_winner < 0),312740183,2011,2011-10-01,Syracuse,Rutgers,16,19,-0.1354,3,1.386,0.59
winner lost Success Rate (SRDiff_winner < 0),312740218,2011,2011-10-01,Temple,Toledo,13,36,-0.0812,23,3.178,0.774
winner lost Success Rate (SRDiff_winner < 0),312740259,2011,2011-10-01,Virginia Tech,Clemson,3,23,-0.0036,20,3.045,1.0
winner lost Success Rate (SRDiff_winner < 0),312740356,2011,2011-10-01,Illinois,Northwestern,38,35,-0.0022,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312742117,2011,2011-10-01,Central Michigan,Northern Illinois,48,41,-0.1133,7,2.079,0.659
winner lost Success Rate (SRDiff_winner < 0),312742199,2011,2011-10-01,Eastern Michigan,Akron,31,23,-0.0613,8,2.197,0.855
winner lost Success Rate (SRDiff_winner < 0),312742229,2011,2011-10-01,FIU,Duke,27,31,-0.102,4,1.609,0.698
winner lost Success Rate (SRDiff_winner < 0),312742305,2011,2011-10-01,Kansas,Texas Tech,34,45,-0.0418,11,2.485,0.943
winner lost Success Rate (SRDiff_winner < 0),312742306,2011,2011-10-01,Kansas State,Baylor,36,35,-0.0513,1,0.693,0.899
winner lost Success Rate (SRDiff_winner < 0),312742628,2011,2011-10-01,TCU,SMU,33,40,-0.0519,7,2.079,0.896
winner lost Success Rate (SRDiff_winner < 0),312740009,2011,2011-10-02,Arizona State,Oregon State,35,20,-0.0095,15,2.773,1.0
winner lost Success Rate (SRDiff_winner < 0),312740151,2011,2011-10-02,East Carolina,North Carolina,20,35,-0.1197,15,2.773,0.639
winner lost Success Rate (SRDiff_winner < 0),312740167,2011,2011-10-02,New Mexico,New Mexico State,28,42,-0.088,14,2.708,0.748
winner lost Success Rate (SRDiff_winner < 0),312740278,2011,2011-10-02,Fresno State,Ole Miss,28,38,-0.2039,10,2.398,0.419
winner lost Success Rate (SRDiff_winner < 0),312792393,2011,2011-10-06,Middle Tennessee,Western Kentucky,33,36,-0.0228,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312810059,2011,2011-10-08,Georgia Tech,Maryland,21,16,-0.0188,5,1.792,1.0
winner lost Success Rate (SRDiff_winner < 0),312810077,2011,2011-10-08,Northwestern,Michigan,24,42,-0.0651,18,2.944,0.839
winner lost Success Rate (SRDiff_winner < 0),312810152,2011,2011-10-08,NC State,Central Michigan,38,24,-0.0594,14,2.708,0.863
winner lost Success Rate (SRDiff_winner < 0),312810153,2011,2011-10-08,North Carolina,Louisville,14,7,-0.006,7,2.079,1.0
winner lost Success Rate (SRDiff_winner < 0),312810154,2011,2011-10-08,Wake Forest,Florida State,35,30,-0.1884,5,1.792,0.453
winner lost Success Rate (SRDiff_winner < 0),312810242,2011,2011-10-08,Rice,Memphis,28,6,-0.0711,22,3.135,0.814
winner lost Success Rate (SRDiff_winner < 0),312810249,2011,2011-10-08,North Texas,FAU,31,17,-0.0357,14,2.708,0.972
winner lost Success Rate (SRDiff_winner < 0),312810251,2011,2011-10-08,Texas,Oklahoma,17,55,-0.0316,38,3.664,0.992
winner lost Success Rate (SRDiff_winner < 0),312810254,2011,2011-10-08,Utah,Arizona State,14,35,-0.0114,21,3.091,1.0
winner lost Success Rate (SRDiff_winner < 0),312810277,2011,2011-10-08,West Virginia,UConn,43,16,-0.0167,27,3.332,1.0
winner lost Success Rate (SRDiff_winner < 0),312810309,2011,2011-10-08,Louisiana,Troy,31,17,-0.0104,14,2.708,1.0
winner lost Success Rate (SRDiff_winner < 0),312812084,2011,2011-10-08,Buffalo,Ohio,38,37,-0.0559,1,0.693,0.879
winner lost Success Rate (SRDiff_winner < 0),312812306,2011,2011-10-08,Kansas State,Missouri,24,17,-0.1086,7,2.079,0.675
winner lost Success Rate (SRDiff_winner < 0),312812509,2011,2011-10-08,Purdue,Minnesota,45,17,-0.0545,28,3.367,0.885
winner lost Success Rate (SRDiff_winner < 0),312812633,2011,2011-10-08,Tennessee,Georgia,12,20,-0.0159,8,2.197,1.0
winner lost Success Rate (SRDiff_winner < 0),312810026,2011,2011-10-09,UCLA,Washington State,28,25,-0.0029,3,1.386,1.0
winner lost Success Rate (SRDiff_winner < 0),312812655,2011,2011-10-09,Tulane,Syracuse,34,37,-0.0903,3,1.386,0.74
winner lost Success Rate (SRDiff_winner < 0),312862005,2011,2011-10-14,Air Force,San Diego State,27,41,-0.0384,14,2.708,0.959
winner lost Success Rate (SRDiff_winner < 0),312870023,2011,2011-10-15,San Jose State,Hawai'i,28,27,-0.0379,1,0.693,0.961
