game_id,season,week,date,home_team,away_team,neutral_site,game_phase,home_score,away_score,home_success_rate_nogt,away_success_rate_nogt,home_plays_nogt,away_plays_nogt,home_sr_diff_nogt,away_sr_diff_nogt,home_success_rate_all,away_success_rate_all,home_plays_all,away_plays_all,home_sr_diff_all,away_sr_diff_all
61708,1998,1,1998-08-29,Michigan State,Colorado State,0,regular,16,23,,,,,,,,,,,,
61709,1998,1,1998-08-29,Nebraska,Louisiana Tech,0,regular,56,27,,,,,,,,,,,,
61710,1998,1,1998-08-30,USC,Purdue,0,regular,27,17,,,,,,,,,,,,
61711,1998,1,1998-08-31,Florida State,Texas A&M,0,regular,23,14,,,,,,,,,,,,
61712,1998,2,1998-09-03,Hawai'i,Arizona,0,regular,6,27,,,,,,,,,,,,
61713,1998,2,1998-09-03,NC State,Ohio,0,regular,34,31,,,,,,,,,,,,
61715,1998,2,1998-09-03,Auburn,Virginia,0,regular,0,19,,,,,,,,,,,,
61716,1998,2,1998-09-03,Western Michigan,Northern Illinois,0,regular,37,23,,,,,,,,,,,,
61717,1998,2,1998-09-05,Air Force,Wake Forest,0,regular,42,0,,,,,,,,,,,,
61718,1998,2,1998-09-05,Alabama,BYU,0,regular,38,31,,,,,,,,,,,,
61719,1998,2,1998-09-05,Arkansas,Louisiana,0,regular,38,17,,,,,,,,,,,,
61721,1998,2,1998-09-05,Georgia Tech,Boston College,0,regular,31,41,,,,,,,,,,,,
61722,1998,2,1998-09-05,California,Houston,0,regular,14,10,,,,,,,,,,,,
61723,1998,2,1998-09-05,Louisiana Tech,UCF,0,regular,30,64,,,,,,,,,,,,
61725,1998,2,1998-09-05,Colorado,Colorado State,0,regular,42,14,,,,,,,,,,,,
61728,1998,2,1998-09-05,Georgia,Kent State,0,regular,56,3,,,,,,,,,,,,
61730,1998,2,1998-09-05,Iowa,Central Michigan,0,regular,38,0,,,,,,,,,,,,
61732,1998,2,1998-09-05,Louisville,Kentucky,0,regular,34,68,,,,,,,,,,,,
61734,1998,2,1998-09-05,Akron,Marshall,0,regular,16,27,,,,,,,,,,,,
61737,1998,2,1998-09-05,North Carolina,Miami (OH),0,regular,10,13,,,,,,,,,,,,
61738,1998,2,1998-09-05,Minnesota,Arkansas State,0,regular,17,14,,,,,,,,,,,,
61739,1998,2,1998-09-05,Ole Miss,Memphis,0,regular,30,10,,,,,,,,,,,,
61740,1998,2,1998-09-05,Mississippi State,Vanderbilt,0,regular,42,0,,,,,,,,,,,,
61741,1998,2,1998-09-05,Missouri,Bowling Green,0,regular,37,0,,,,,,,,,,,,
61742,1998,2,1998-09-05,Nebraska,UAB,0,regular,38,7,,,,,,,,,,,,
61744,1998,2,1998-09-05,Northwestern,UNLV,0,regular,41,7,,,,,,,,,,,,
61745,1998,2,1998-09-05,Notre Dame,Michigan,0,regular,36,20,,,,,,,,,,,,
61746,1998,2,1998-09-05,West Virginia,Ohio State,0,regular,17,34,,,,,,,,,,,,
61747,1998,2,1998-09-05,Oklahoma,North Texas,0,regular,37,9,,,,,,,,,,,,
61748,1998,2,1998-09-05,Kansas,Oklahoma State,0,regular,28,38,,,,,,,,,,,,
61749,1998,2,1998-09-05,Oregon,Michigan State,0,regular,48,14,,,,,,,,,,,,
61750,1998,2,1998-09-05,Oregon State,Nevada,0,regular,48,6,,,,,,,,,,,,
61751,1998,2,1998-09-05,Penn State,Southern Miss,0,regular,34,6,,,,,,,,,,,,
61753,1998,2,1998-09-05,Rice,SMU,0,regular,23,17,,,,,,,,,,,,
61755,1998,2,1998-09-05,Stanford,San Jose State,0,regular,23,35,,,,,,,,,,,,
61756,1998,2,1998-09-05,South Carolina,Ball State,0,regular,38,20,,,,,,,,,,,,
61757,1998,2,1998-09-05,Syracuse,Tennessee,0,regular,33,34,,,,,,,,,,,,
61758,1998,2,1998-09-05,Texas,New Mexico State,0,regular,66,36,,,,,,,,,,,,
61759,1998,2,1998-09-05,Iowa State,TCU,0,regular,21,31,,,,,,,,,,,,
61760,1998,2,1998-09-05,Texas Tech,UTEP,0,regular,35,3,,,,,,,,,,,,
61761,1998,2,1998-09-05,Toledo,Temple,0,regular,24,12,,,,,,,,,,,,
61762,1998,2,1998-09-05,Cincinnati,Tulane,0,regular,34,52,,,,,,,,,,,,
61764,1998,2,1998-09-05,Utah State,Utah,0,regular,12,20,,,,,,,,,,,,
61765,1998,2,1998-09-05,Virginia Tech,East Carolina,0,regular,38,3,,,,,,,,,,,,
61766,1998,2,1998-09-05,Arizona State,Washington,0,regular,38,42,,,,,,,,,,,,
61767,1998,2,1998-09-05,Washington State,Illinois,0,regular,20,13,,,,,,,,,,,,
61768,1998,2,1998-09-05,San Diego State,Wisconsin,0,regular,14,26,,,,,,,,,,,,
61769,1998,3,1998-09-10,Wake Forest,Navy,0,regular,26,14,,,,,,,,,,,,
61770,1998,3,1998-09-12,UNLV,Air Force,0,regular,10,52,,,,,,,,,,,,
61771,1998,3,1998-09-12,Temple,Akron,0,regular,28,35,,,,,,,,,,,,
61772,1998,3,1998-09-12,Alabama,Vanderbilt,0,regular,32,7,,,,,,,,,,,,
61773,1998,3,1998-09-12,Stanford,Arizona,0,regular,14,31,,,,,,,,,,,,
61774,1998,3,1998-09-12,Ole Miss,Auburn,0,regular,0,17,,,,,,,,,,,,
61775,1998,3,1998-09-12,Boston College,Rutgers,0,regular,41,14,,,,,,,,,,,,
61776,1998,3,1998-09-12,BYU,Arizona State,0,regular,26,6,,,,,,,,,,,,
61779,1998,3,1998-09-12,Colorado,Fresno State,0,regular,29,21,,,,,,,,,,,,
61780,1998,3,1998-09-12,Nevada,Colorado State,0,regular,14,26,,,,,,,,,,,,
61781,1998,3,1998-09-12,Northwestern,Duke,0,regular,10,44,,,,,,,,,,,,
61783,1998,3,1998-09-12,Ball State,Eastern Michigan,0,regular,7,13,,,,,,,,,,,,
61784,1998,3,1998-09-12,Florida,ULM,0,regular,42,10,,,,,,,,,,,,
61785,1998,3,1998-09-12,South Carolina,Georgia,0,regular,3,17,,,,,,,,,,,,
61786,1998,3,1998-09-12,Georgia Tech,New Mexico State,0,regular,42,7,,,,,,,,,,,,
61787,1998,3,1998-09-12,San Jose State,Idaho,0,regular,12,17,,,,,,,,,,,,
61789,1998,3,1998-09-12,Indiana,Western Michigan,0,regular,45,30,,,,,,,,,,,,
61790,1998,3,1998-09-12,Iowa,Iowa State,0,regular,9,27,,,,,,,,,,,,
61791,1998,3,1998-09-12,Kansas State,Northern Illinois,0,regular,73,7,,,,,,,,,,,,
61793,1998,3,1998-09-12,LSU,Arkansas State,0,regular,42,6,,,,,,,,,,,,
61795,1998,3,1998-09-12,Cincinnati,Miami (FL),0,regular,12,38,,,,,,,,,,,,
61796,1998,3,1998-09-12,Army,Miami (OH),0,regular,13,14,,,,,,,,,,,,
61797,1998,3,1998-09-12,Michigan State,Notre Dame,0,regular,45,23,,,,,,,,,,,,
61798,1998,3,1998-09-12,Houston,Minnesota,0,regular,7,14,,,,,,,,,,,,
61799,1998,3,1998-09-12,Memphis,Mississippi State,0,regular,6,14,,,,,,,,,,,,
61800,1998,3,1998-09-12,Missouri,Kansas,0,regular,41,23,,,,,,,,,,,,
61801,1998,3,1998-09-12,California,Nebraska,0,regular,3,24,,,,,,,,,,,,
61802,1998,3,1998-09-12,New Mexico,Utah State,0,regular,39,36,,,,,,,,,,,,
61803,1998,3,1998-09-12,NC State,Florida State,0,regular,24,7,,,,,,,,,,,,
61805,1998,3,1998-09-12,Ohio State,Toledo,0,regular,49,0,,,,,,,,,,,,
61806,1998,3,1998-09-12,TCU,Oklahoma,0,regular,9,10,,,,,,,,,,,,
61807,1998,3,1998-09-12,UTEP,Oregon,0,regular,26,33,,,,,,,,,,,,
61808,1998,3,1998-09-12,Oregon State,Baylor,0,regular,27,17,,,,,,,,,,,,
61809,1998,3,1998-09-12,Penn State,Bowling Green,0,regular,48,3,,,,,,,,,,,,
61810,1998,3,1998-09-12,Purdue,Rice,0,regular,21,19,,,,,,,,,,,,
61811,1998,3,1998-09-12,USC,San Diego State,0,regular,35,6,,,,,,,,,,,,
61812,1998,3,1998-09-12,Michigan,Syracuse,0,regular,28,38,,,,,,,,,,,,
61813,1998,3,1998-09-12,Texas A&M,Louisiana Tech,0,regular,28,7,,,,,,,,,,,,
61814,1998,3,1998-09-12,North Texas,Texas Tech,0,regular,0,30,,,,,,,,,,,,
61815,1998,3,1998-09-12,SMU,Tulane,0,regular,21,31,,,,,,,,,,,,
61816,1998,3,1998-09-12,Tulsa,Oklahoma State,0,regular,35,20,,,,,,,,,,,,
61817,1998,3,1998-09-12,UCLA,Texas,0,regular,49,31,,,,,,,,,,,,
61818,1998,3,1998-09-12,Utah,Louisville,0,regular,45,22,,,,,,,,,,,,
61819,1998,3,1998-09-12,Virginia,Maryland,0,regular,31,19,,,,,,,,,,,,
61820,1998,3,1998-09-12,Clemson,Virginia Tech,0,regular,0,37,,,,,,,,,,,,
61821,1998,3,1998-09-12,Boise State,Washington State,0,regular,21,33,,,,,,,,,,,,
