config,family,k_mode,K,gamma,dead_zone,tau,games,brier,log_loss,accuracy
MOV_production,Current MOV Elo,production,35,,,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.00|normalized,Hybrid exp,normalized,35.0,0.0,0.0,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.00|fixed,Hybrid exp,fixed,35,0.0,0.0,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.02|normalized,Hybrid exp,normalized,35.0,0.0,0.02,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.02|fixed,Hybrid exp,fixed,35,0.0,0.02,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.04|normalized,Hybrid exp,normalized,35.0,0.0,0.04,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.0_dz0.04|fixed,Hybrid exp,fixed,35,0.0,0.04,,11426,0.18505,0.545626,0.7118
hyb_exp_g0.25_dz0.00|normalized,Hybrid exp,normalized,34.263,0.25,0.0,,11426,0.184734,0.544846,0.7125
hyb_exp_g0.25_dz0.00|fixed,Hybrid exp,fixed,35,0.25,0.0,,11426,0.184748,0.544855,0.7125
hyb_exp_g0.25_dz0.02|normalized,Hybrid exp,normalized,34.351,0.25,0.02,,11426,0.184766,0.544924,0.71232
hyb_exp_g0.25_dz0.02|fixed,Hybrid exp,fixed,35,0.25,0.02,,11426,0.184778,0.544931,0.7125
hyb_exp_g0.25_dz0.04|normalized,Hybrid exp,normalized,34.437,0.25,0.04,,11426,0.184798,0.545001,0.71206
hyb_exp_g0.25_dz0.04|fixed,Hybrid exp,fixed,35,0.25,0.04,,11426,0.184808,0.545006,0.71189
hyb_exp_g0.5_dz0.00|normalized,Hybrid exp,normalized,33.51,0.5,0.0,,11426,0.184452,0.544152,0.71381
hyb_exp_g0.5_dz0.00|fixed,Hybrid exp,fixed,35,0.5,0.0,,11426,0.184488,0.544201,0.71337
hyb_exp_g0.5_dz0.02|normalized,Hybrid exp,normalized,33.688,0.5,0.02,,11426,0.184509,0.544288,0.71355
hyb_exp_g0.5_dz0.02|fixed,Hybrid exp,fixed,35,0.5,0.02,,11426,0.184539,0.544325,0.71294
hyb_exp_g0.5_dz0.04|normalized,Hybrid exp,normalized,33.861,0.5,0.04,,11426,0.184567,0.544426,0.71302
hyb_exp_g0.5_dz0.04|fixed,Hybrid exp,fixed,35,0.5,0.04,,11426,0.184591,0.544452,0.71337
hyb_exp_g0.75_dz0.00|normalized,Hybrid exp,normalized,32.744,0.75,0.0,,11426,0.184205,0.543544,0.7153
hyb_exp_g0.75_dz0.00|fixed,Hybrid exp,fixed,35,0.75,0.0,,11426,0.184273,0.543672,0.71442
hyb_exp_g0.75_dz0.02|normalized,Hybrid exp,normalized,33.013,0.75,0.02,,11426,0.184279,0.54372,0.71477
hyb_exp_g0.75_dz0.02|fixed,Hybrid exp,fixed,35,0.75,0.02,,11426,0.184334,0.543815,0.71381
hyb_exp_g0.75_dz0.04|normalized,Hybrid exp,normalized,33.274,0.75,0.04,,11426,0.184356,0.543903,0.71434
hyb_exp_g0.75_dz0.04|fixed,Hybrid exp,fixed,35,0.75,0.04,,11426,0.1844,0.543972,0.71355
hyb_exp_g1.0_dz0.00|normalized,Hybrid exp,normalized,31.966,1.0,0.0,,11426,0.183993,0.543025,0.71512
hyb_exp_g1.0_dz0.00|fixed,Hybrid exp,fixed,35,1.0,0.0,,11426,0.184105,0.54328,0.71477
hyb_exp_g1.0_dz0.02|normalized,Hybrid exp,normalized,32.326,1.0,0.02,,11426,0.184077,0.543222,0.71512
hyb_exp_g1.0_dz0.02|fixed,Hybrid exp,fixed,35,1.0,0.02,,11426,0.184166,0.543412,0.71451
hyb_exp_g1.0_dz0.04|normalized,Hybrid exp,normalized,32.675,1.0,0.04,,11426,0.184167,0.543435,0.71442
hyb_exp_g1.0_dz0.04|fixed,Hybrid exp,fixed,35,1.0,0.04,,11426,0.184237,0.543572,0.71451
hyb_exp_g1.25_dz0.00|normalized,Hybrid exp,normalized,31.176,1.25,0.0,,11426,0.183816,0.542595,0.71565
hyb_exp_g1.25_dz0.00|fixed,Hybrid exp,fixed,35,1.25,0.0,,11426,0.183988,0.543039,0.71574
hyb_exp_g1.25_dz0.02|normalized,Hybrid exp,normalized,31.627,1.25,0.02,,11426,0.183903,0.542796,0.71609
hyb_exp_g1.25_dz0.02|fixed,Hybrid exp,fixed,35,1.25,0.02,,11426,0.184038,0.543125,0.71556
hyb_exp_g1.25_dz0.04|normalized,Hybrid exp,normalized,32.065,1.25,0.04,,11426,0.184,0.543024,0.71582
hyb_exp_g1.25_dz0.04|fixed,Hybrid exp,fixed,35,1.25,0.04,,11426,0.184105,0.543261,0.71582
hyb_exp_g1.5_dz0.00|normalized,Hybrid exp,normalized,30.375,1.5,0.0,,11426,0.183674,0.542257,0.71626
hyb_exp_g1.5_dz0.00|fixed,Hybrid exp,fixed,35,1.5,0.0,,11426,0.183925,0.542962,0.71591
hyb_exp_g1.5_dz0.02|normalized,Hybrid exp,normalized,30.918,1.5,0.02,,11426,0.183758,0.542446,0.71617
hyb_exp_g1.5_dz0.02|fixed,Hybrid exp,fixed,35,1.5,0.02,,11426,0.183952,0.542967,0.71626
hyb_exp_g1.5_dz0.04|normalized,Hybrid exp,normalized,31.444,1.5,0.04,,11426,0.183857,0.542674,0.71635
hyb_exp_g1.5_dz0.04|fixed,Hybrid exp,fixed,35,1.5,0.04,,11426,0.184006,0.543049,0.71635
hyb_exp_g1.75_dz0.00|normalized,Hybrid exp,normalized,29.567,1.75,0.0,,11426,0.183568,0.542012,0.71644
hyb_exp_g1.75_dz0.00|fixed,Hybrid exp,fixed,35,1.75,0.0,,11426,0.183919,0.543068,0.71547
