season,games,mov_log_loss,hybrid_log_loss,mov_brier,hybrid_brier,hybrid_config,hybrid_better
2011,715,0.53247,0.534084,0.179771,0.180256,hyb_exp_g3.5_dz0.04|normalized,False
2012,732,0.520957,0.518913,0.175247,0.174688,hyb_exp_g2.5_dz0.00|normalized,True
2013,737,0.496364,0.492019,0.165928,0.164375,hyb_exp_g2.25_dz0.00|normalized,True
2014,760,0.555084,0.543513,0.189172,0.185061,hyb_exp_g2.75_dz0.02|normalized,True
2015,765,0.515016,0.509831,0.173099,0.170608,hyb_exp_g3.25_dz0.02|normalized,True
2016,760,0.563989,0.559385,0.19326,0.191262,hyb_exp_g3.0_dz0.02|normalized,True
2017,776,0.560546,0.557163,0.191564,0.190063,hyb_exp_g2.75_dz0.00|normalized,True
2018,772,0.526614,0.521099,0.177968,0.175328,hyb_exp_g2.75_dz0.00|normalized,True
2019,774,0.523913,0.520675,0.176326,0.175368,hyb_exp_g2.75_dz0.00|normalized,True
2020,534,0.570122,0.567398,0.193072,0.191389,hyb_exp_g2.75_dz0.00|normalized,True
2021,770,0.555442,0.553977,0.189011,0.188184,hyb_exp_g2.5_dz0.00|normalized,True
2022,776,0.596777,0.595213,0.205218,0.203799,hyb_exp_g2.5_dz0.00|normalized,True
2023,792,0.551399,0.547764,0.186233,0.185129,hyb_exp_g2.5_dz0.00|normalized,True
2024,798,0.580833,0.580568,0.199885,0.199383,hyb_exp_g2.5_dz0.00|normalized,True
2025,808,0.54673,0.542418,0.185532,0.183918,hyb_exp_g2.25_dz0.00|normalized,True
2026,157,0.495002,0.489226,0.158461,0.15624,hyb_exp_g2.25_dz0.00|normalized,True
