model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Current MOV Elo,2011,MOV_production,715,0.179771,0.53247,0.72448
Current MOV Elo,2012,MOV_production,732,0.175247,0.520957,0.72814
Current MOV Elo,2013,MOV_production,737,0.165928,0.496364,0.75577
Current MOV Elo,2014,MOV_production,760,0.189172,0.555084,0.69868
Current MOV Elo,2015,MOV_production,765,0.173099,0.515016,0.73856
Current MOV Elo,2016,MOV_production,760,0.19326,0.563989,0.69868
Current MOV Elo,2017,MOV_production,776,0.191564,0.560546,0.69201
Current MOV Elo,2018,MOV_production,772,0.177968,0.526614,0.72927
Current MOV Elo,2019,MOV_production,774,0.176326,0.523913,0.7261
Current MOV Elo,2020,MOV_production,534,0.193072,0.570122,0.71536
Current MOV Elo,2021,MOV_production,770,0.189011,0.555442,0.69351
Current MOV Elo,2022,MOV_production,776,0.205218,0.596777,0.67397
Current MOV Elo,2023,MOV_production,792,0.186233,0.551399,0.70833
Current MOV Elo,2024,MOV_production,798,0.199885,0.580833,0.67794
Current MOV Elo,2025,MOV_production,808,0.185532,0.54673,0.70916
Current MOV Elo,2026,MOV_production,157,0.158461,0.495002,0.77707
Hybrid exp [normalized K],2011,hyb_exp_g3.5_dz0.04|normalized,715,0.180256,0.534084,0.72168
Hybrid exp [normalized K],2012,hyb_exp_g2.5_dz0.00|normalized,732,0.174688,0.518913,0.7418
Hybrid exp [normalized K],2013,hyb_exp_g2.25_dz0.00|normalized,737,0.164375,0.492019,0.7517
Hybrid exp [normalized K],2014,hyb_exp_g2.75_dz0.02|normalized,760,0.185061,0.543513,0.71184
Hybrid exp [normalized K],2015,hyb_exp_g3.25_dz0.02|normalized,765,0.170608,0.509831,0.74118
Hybrid exp [normalized K],2016,hyb_exp_g3.0_dz0.02|normalized,760,0.191262,0.559385,0.70789
Hybrid exp [normalized K],2017,hyb_exp_g2.75_dz0.00|normalized,776,0.190063,0.557163,0.69459
Hybrid exp [normalized K],2018,hyb_exp_g2.75_dz0.00|normalized,772,0.175328,0.521099,0.73057
Hybrid exp [normalized K],2019,hyb_exp_g2.75_dz0.00|normalized,774,0.175368,0.520675,0.73127
