config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
MOV_production,Current MOV Elo,production,35,,,,,,,11426,0.18505,0.545626,0.7118
MOV_K25,"MOV, K walk-forward",tuned,25,,,,,,,11426,0.185943,0.548731,0.71451
MOV_K30,"MOV, K walk-forward",tuned,30,,,,,,,11426,0.18521,0.546347,0.71285
MOV_K35,"MOV, K walk-forward",tuned,35,,,,,,,11426,0.18505,0.545626,0.7118
MOV_K40,"MOV, K walk-forward",tuned,40,,,,,,,11426,0.185316,0.546217,0.71329
MOV_K45,"MOV, K walk-forward",tuned,45,,,,,,,11426,0.185912,0.547895,0.71224
MOV_K50,"MOV, K walk-forward",tuned,50,,,,,,,11426,0.186773,0.550505,0.71346
PURE_K35,Pure W/L Elo,tuned,35,,,,,,,11426,0.195038,0.572765,0.69841
PURE_K50,Pure W/L Elo,tuned,50,,,,,,,11426,0.191594,0.563219,0.70261
PURE_K60,Pure W/L Elo,tuned,60,,,,,,,11426,0.190409,0.559646,0.70322
PURE_K70,Pure W/L Elo,tuned,70,,,,,,,11426,0.189795,0.557611,0.70287
PURE_K80,Pure W/L Elo,tuned,80,,,,,,,11426,0.189601,0.556769,0.70401
PURE_K90,Pure W/L Elo,tuned,90,,,,,,,11426,0.189726,0.55689,0.70462
PURE_K100,Pure W/L Elo,tuned,100,,,,,,,11426,0.1901,0.55781,0.70313
PURE_K120,Pure W/L Elo,tuned,120,,,,,,,11426,0.191408,0.561604,0.70357
linear_b0_dz0.00|norm,Linear SRDiff,normalized,84.22,linear,0,0.0,,,,11426,0.189527,0.556494,0.7041
linear_b0_dz0.00|fixed,Linear SRDiff,fixed,35,linear,0,0.0,,,,11426,0.194868,0.572301,0.69762
linear_b1_dz0.00|norm,Linear SRDiff,normalized,78.67,linear,1,0.0,,,,11426,0.1878,0.552244,0.70873
linear_b1_dz0.00|fixed,Linear SRDiff,fixed,35,linear,1,0.0,,,,11426,0.192657,0.566669,0.70051
linear_b2_dz0.00|norm,Linear SRDiff,normalized,73.807,linear,2,0.0,,,,11426,0.186739,0.549631,0.71285
linear_b2_dz0.00|fixed,Linear SRDiff,fixed,35,linear,2,0.0,,,,11426,0.191002,0.562314,0.70462
linear_b3_dz0.00|norm,Linear SRDiff,normalized,69.509,linear,3,0.0,,,,11426,0.18613,0.54815,0.71364
linear_b3_dz0.00|fixed,Linear SRDiff,fixed,35,linear,3,0.0,,,,11426,0.189764,0.558952,0.70576
