split,games,mov_log_loss,sr_log_loss,mov_brier,sr_brier,favourite_actual_win_pct,mov_favourite_predicted,sr_favourite_predicted
all games,11426,0.54563,0.54724,0.18505,0.18564,0.7118,0.7226,0.7272
favourite at home,6517,0.50852,0.50892,0.16967,0.16999,0.7465,0.747,0.7492
favourite on the road,4023,0.58751,0.59205,0.2022,0.20369,0.6724,0.6988,0.7067
neutral site,886,0.62837,0.62564,0.22027,0.21881,0.6354,0.6516,0.6583
conference,7738,0.55834,0.56061,0.19007,0.19094,0.7028,0.7206,0.725
nonconference,3688,0.51894,0.51918,0.17451,0.17452,0.7307,0.7268,0.7318
regular season,10841,0.53942,0.54151,0.1824,0.18317,0.7177,0.728,0.7326
postseason,585,0.66061,0.65348,0.23418,0.23134,0.6017,0.6227,0.6279
home win prob <20%,1050,0.38585,0.38748,0.11517,0.11539,0.8629,0.8693,0.877
home win prob 20-40%,2125,0.63072,0.63936,0.21975,0.22288,0.6635,0.6953,0.7024
home win prob 40-60%,2675,0.68804,0.69107,0.24746,0.24868,0.535,0.5496,0.5539
home win prob 60-80%,2960,0.60852,0.60701,0.20927,0.20857,0.6949,0.7015,0.7039
home win prob >80%,2616,0.32384,0.32184,0.09369,0.09318,0.8903,0.8868,0.8909
