season,Current MOV Elo log_loss,Current MOV Elo brier,"MOV, K walk-forward log_loss","MOV, K walk-forward brier",Pure W/L Elo log_loss,Pure W/L Elo brier,Linear SRDiff [normalized K] log_loss,Linear SRDiff [normalized K] brier,Dead-zone SRDiff [normalized K] log_loss,Dead-zone SRDiff [normalized K] brier,Bounded SRDiff [normalized K] log_loss,Bounded SRDiff [normalized K] brier,Nonlinear SRDiff [normalized K] log_loss,Nonlinear SRDiff [normalized K] brier,Any SR model [normalized K] log_loss,Any SR model [normalized K] brier,games,lead_SR_config
2011,0.53247,0.179771,0.53247,0.179771,0.541624,0.183877,0.534131,0.180876,0.536861,0.181918,0.533728,0.18068,0.540888,0.183414,0.540888,0.183414,715,exp_b5_dz0.03|norm
2012,0.520957,0.175247,0.520957,0.175247,0.535524,0.181061,0.528669,0.178501,0.528283,0.178453,0.526536,0.177425,0.528127,0.178406,0.526536,0.177425,732,linear_b8_dz0.01_f0.75-c2.50|norm
2013,0.496364,0.165928,0.496364,0.165928,0.504858,0.169686,0.499296,0.16737,0.497642,0.166679,0.498318,0.16706,0.496283,0.166105,0.498318,0.16706,737,linear_b8_dz0.01_f0.75-c2.50|norm
2014,0.555084,0.189172,0.558076,0.190381,0.564174,0.192304,0.54731,0.186522,0.546448,0.186224,0.547434,0.186419,0.546043,0.186051,0.547434,0.186419,760,linear_b9_dz0.03_f0.75-c2.50|norm
2015,0.515016,0.173099,0.515016,0.173099,0.523988,0.176758,0.512439,0.171037,0.512193,0.170964,0.511753,0.17093,0.511516,0.170818,0.511516,0.170818,765,exp_b4_dz0.01|norm
2016,0.563989,0.19326,0.565062,0.193589,0.573747,0.19685,0.561949,0.192155,0.561596,0.191978,0.560988,0.191785,0.561838,0.19207,0.561838,0.19207,760,exp_b4_dz0.00|norm
2017,0.560546,0.191564,0.560546,0.191564,0.574094,0.197042,0.566072,0.193713,0.565298,0.193479,0.56784,0.194613,0.563814,0.192732,0.563814,0.192732,776,exp_b4_dz0.00|norm
2018,0.526614,0.177968,0.526614,0.177968,0.539897,0.183626,0.526425,0.177308,0.526055,0.177094,0.528336,0.178216,0.527329,0.177408,0.527329,0.177408,772,exp_b4_dz0.01|norm
2019,0.523913,0.176326,0.523913,0.176326,0.536473,0.181546,0.525622,0.177442,0.526706,0.17794,0.526471,0.177813,0.52602,0.177661,0.52602,0.177661,774,exp_b4_dz0.00|norm
2020,0.570122,0.193072,0.570122,0.193072,0.581472,0.198145,0.57273,0.194047,0.57358,0.194302,0.5733,0.194218,0.570268,0.193064,0.570268,0.193064,534,exp_b4_dz0.00|norm
2021,0.555442,0.189011,0.555442,0.189011,0.560786,0.191679,0.55255,0.188268,0.553425,0.188719,0.55435,0.188912,0.554841,0.189131,0.554841,0.189131,770,exp_b4_dz0.00|norm
2022,0.596777,0.205218,0.596777,0.205218,0.609022,0.210206,0.600904,0.205986,0.599264,0.205321,0.600139,0.20597,0.60049,0.205675,0.60049,0.205675,776,exp_b4_dz0.00|norm
2023,0.551399,0.186233,0.551399,0.186233,0.563102,0.191092,0.556931,0.18878,0.55563,0.188326,0.556492,0.188617,0.553921,0.187723,0.553921,0.187723,792,exp_b4_dz0.01|norm
2024,0.580833,0.199885,0.580833,0.199885,0.599005,0.207686,0.592562,0.204737,0.591904,0.204463,0.590491,0.204001,0.591711,0.204212,0.591711,0.204212,798,exp_b4_dz0.01|norm
2025,0.54673,0.185532,0.54673,0.185532,0.556029,0.189267,0.545798,0.185629,0.545406,0.185366,0.547424,0.186211,0.545264,0.185317,0.545264,0.185317,808,exp_b4_dz0.02|norm
2026,0.495002,0.158461,0.495002,0.158461,0.511914,0.165088,0.4994,0.159307,0.498111,0.159206,0.500601,0.159861,0.497057,0.158799,0.497057,0.158799,157,exp_b4_dz0.02|norm
