section,series,n,mean,median,std,p05,p10,p25,p75,p90,p95,min,max,win_pct,avg_margin,median_margin
summary,team perspective (every game counted from both sides),26908,0.0,0.0,0.1448,-0.2397,-0.1768,-0.0866,0.0866,0.1768,0.2397,-0.6778,0.6778,,,
summary,winner perspective (SR_winner - SR_loser),13454,0.0828,0.0709,0.1187,-0.0908,-0.0565,0.0012,0.1522,0.2394,0.2975,-0.625,0.6778,,,
summary,absolute |SRDiff| per game,13454,0.1105,0.0866,0.0935,0.0073,0.0152,0.0394,0.1562,0.2397,0.2976,0.0,0.6778,,,
bucket (team perspective),<= -20pp,2084,,,,,,,,,,,,0.0163,-32.69,-33.0
bucket (team perspective),-20 to -15,1518,,,,,,,,,,,,0.0837,-20.63,-21.0
bucket (team perspective),-15 to -10,2330,,,,,,,,,,,,0.1674,-13.86,-14.0
bucket (team perspective),-10 to -5,3364,,,,,,,,,,,,0.2919,-7.57,-7.0
bucket (team perspective),-5 to 0,4192,,,,,,,,,,,,0.4253,-2.49,-3.0
bucket (team perspective),0 to +5,4192,,,,,,,,,,,,0.5747,2.49,3.0
bucket (team perspective),+5 to +10,3364,,,,,,,,,,,,0.7081,7.57,7.0
bucket (team perspective),+10 to +15,2330,,,,,,,,,,,,0.8326,13.86,14.0
bucket (team perspective),+15 to +20,1518,,,,,,,,,,,,0.9163,20.63,21.0
bucket (team perspective),>= +20pp,2084,,,,,,,,,,,,0.9837,32.69,33.0
