model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Current MOV Elo,2011,MOV_production,715,0.179771,0.53247,0.72448
Current MOV Elo,2012,MOV_production,732,0.175247,0.520957,0.72814
Current MOV Elo,2013,MOV_production,737,0.165928,0.496364,0.75577
Current MOV Elo,2014,MOV_production,760,0.189172,0.555084,0.69868
Current MOV Elo,2015,MOV_production,765,0.173099,0.515016,0.73856
Current MOV Elo,2016,MOV_production,760,0.19326,0.563989,0.69868
Current MOV Elo,2017,MOV_production,776,0.191564,0.560546,0.69201
Current MOV Elo,2018,MOV_production,772,0.177968,0.526614,0.72927
Current MOV Elo,2019,MOV_production,774,0.176326,0.523913,0.7261
Current MOV Elo,2020,MOV_production,534,0.193072,0.570122,0.71536
Current MOV Elo,2021,MOV_production,770,0.189011,0.555442,0.69351
Current MOV Elo,2022,MOV_production,776,0.205218,0.596777,0.67397
Current MOV Elo,2023,MOV_production,792,0.186233,0.551399,0.70833
Current MOV Elo,2024,MOV_production,798,0.199885,0.580833,0.67794
Current MOV Elo,2025,MOV_production,808,0.185532,0.54673,0.70916
Current MOV Elo,2026,MOV_production,157,0.158461,0.495002,0.77707
"MOV, K walk-forward",2011,MOV_K35,715,0.179771,0.53247,0.72448
"MOV, K walk-forward",2012,MOV_K35,732,0.175247,0.520957,0.72814
"MOV, K walk-forward",2013,MOV_K35,737,0.165928,0.496364,0.75577
"MOV, K walk-forward",2014,MOV_K40,760,0.190381,0.558076,0.70132
"MOV, K walk-forward",2015,MOV_K35,765,0.173099,0.515016,0.73856
"MOV, K walk-forward",2016,MOV_K40,760,0.193589,0.565062,0.69474
"MOV, K walk-forward",2017,MOV_K35,776,0.191564,0.560546,0.69201
"MOV, K walk-forward",2018,MOV_K35,772,0.177968,0.526614,0.72927
"MOV, K walk-forward",2019,MOV_K35,774,0.176326,0.523913,0.7261
"MOV, K walk-forward",2020,MOV_K35,534,0.193072,0.570122,0.71536
"MOV, K walk-forward",2021,MOV_K35,770,0.189011,0.555442,0.69351
"MOV, K walk-forward",2022,MOV_K35,776,0.205218,0.596777,0.67397
"MOV, K walk-forward",2023,MOV_K35,792,0.186233,0.551399,0.70833
"MOV, K walk-forward",2024,MOV_K35,798,0.199885,0.580833,0.67794
