season_year,conference,coe2_5yr,window_start_year,window_end_year,seasons_counted,external_games,formula_version
1986,SEC,94.44922,1985,1985,1,51,coe2_bonus_v1
1986,FBS Independents,74.750343,1985,1985,1,80,coe2_bonus_v1
1986,Big Ten,64.246536,1985,1985,1,32,coe2_bonus_v1
1986,Pac-10,46.788212,1985,1985,1,33,coe2_bonus_v1
1986,Southwest,46.551569,1985,1985,1,27,coe2_bonus_v1
1986,Big 8,46.015193,1985,1985,1,30,coe2_bonus_v1
1986,Western Athletic,36.592754,1985,1985,1,31,coe2_bonus_v1
1986,ACC,36.496824,1985,1985,1,29,coe2_bonus_v1
1986,PCAA,10.082172,1985,1985,1,16,coe2_bonus_v1
1986,Mid-American,7.995154,1985,1985,1,14,coe2_bonus_v1
1986,Missouri Valley,5.973272,1985,1985,1,7,coe2_bonus_v1
1987,FBS Independents,183.66924,1985,1986,2,171,coe2_bonus_v1
1987,SEC,175.444624,1985,1986,2,102,coe2_bonus_v1
1987,Big Ten,111.952712,1985,1986,2,68,coe2_bonus_v1
1987,Pac-10,104.253653,1985,1986,2,66,coe2_bonus_v1
1987,Southwest,80.093119,1985,1986,2,53,coe2_bonus_v1
1987,Big 8,75.44361,1985,1986,2,58,coe2_bonus_v1
1987,ACC,74.164284,1985,1986,2,58,coe2_bonus_v1
1987,Western Athletic,64.411739,1985,1986,2,62,coe2_bonus_v1
1987,PCAA,24.878506,1985,1986,2,32,coe2_bonus_v1
1987,Mid-American,22.966895,1985,1986,2,33,coe2_bonus_v1
1987,Missouri Valley,5.49541,1985,1986,1,7,coe2_bonus_v1
1988,FBS Independents,316.135763,1985,1987,3,266,coe2_bonus_v1
1988,SEC,247.924667,1985,1987,3,155,coe2_bonus_v1
1988,Big Ten,150.112617,1985,1987,3,101,coe2_bonus_v1
1988,Pac-10,141.319089,1985,1987,3,100,coe2_bonus_v1
1988,Big 8,113.813071,1985,1987,3,88,coe2_bonus_v1
1988,Southwest,112.504216,1985,1987,3,81,coe2_bonus_v1
1988,ACC,100.96308,1985,1987,3,86,coe2_bonus_v1
1988,Western Athletic,82.639397,1985,1987,3,93,coe2_bonus_v1
1988,Mid-American,36.477635,1985,1987,3,52,coe2_bonus_v1
1988,PCAA,35.425625,1985,1987,3,47,coe2_bonus_v1
1988,Missouri Valley,5.055777,1985,1987,1,7,coe2_bonus_v1
1989,FBS Independents,434.45162,1985,1988,4,354,coe2_bonus_v1
1989,SEC,281.890348,1985,1988,4,194,coe2_bonus_v1
1989,Pac-10,196.09947,1985,1988,4,131,coe2_bonus_v1
1989,Big Ten,173.149863,1985,1988,4,137,coe2_bonus_v1
1989,Big 8,151.734483,1985,1988,4,123,coe2_bonus_v1
1989,Southwest,132.125818,1985,1988,4,108,coe2_bonus_v1
1989,ACC,125.890079,1985,1988,4,110,coe2_bonus_v1
1989,Western Athletic,114.76791,1985,1988,4,123,coe2_bonus_v1
1989,Mid-American,47.762765,1985,1988,4,69,coe2_bonus_v1
1989,PCAA,32.591575,1985,1988,3,47,coe2_bonus_v1
1989,Big West,11.289471,1985,1988,1,21,coe2_bonus_v1
1989,Missouri Valley,4.651315,1985,1988,1,7,coe2_bonus_v1
1990,FBS Independents,547.849542,1985,1989,5,452,coe2_bonus_v1
1990,SEC,332.507215,1985,1989,5,235,coe2_bonus_v1
1990,Pac-10,228.303862,1985,1989,5,164,coe2_bonus_v1
1990,Big Ten,203.315811,1985,1989,5,170,coe2_bonus_v1
1990,Big 8,177.932544,1985,1989,5,154,coe2_bonus_v1
1990,Southwest,167.686707,1985,1989,5,136,coe2_bonus_v1
1990,ACC,160.496659,1985,1989,5,141,coe2_bonus_v1
1990,Western Athletic,142.616069,1985,1989,5,157,coe2_bonus_v1
1990,Mid-American,47.789528,1985,1989,5,92,coe2_bonus_v1
1990,PCAA,29.984249,1985,1989,3,47,coe2_bonus_v1
1990,Big West,22.3027,1985,1989,2,39,coe2_bonus_v1
1990,Missouri Valley,4.27921,1985,1989,1,7,coe2_bonus_v1
1991,FBS Independents,573.154956,1986,1990,5,469,coe2_bonus_v1
1991,SEC,301.954902,1986,1990,5,224,coe2_bonus_v1
1991,Pac-10,229.42953,1986,1990,5,167,coe2_bonus_v1
1991,Big Ten,189.108594,1986,1990,5,172,coe2_bonus_v1
1991,Big 8,183.59507,1986,1990,5,156,coe2_bonus_v1
1991,ACC,177.535311,1986,1990,5,140,coe2_bonus_v1
1991,Southwest,164.89071,1986,1990,5,135,coe2_bonus_v1
1991,Western Athletic,146.822113,1986,1990,5,157,coe2_bonus_v1
1991,Mid-American,57.077694,1986,1990,5,99,coe2_bonus_v1
1991,Big West,38.825868,1986,1990,3,58,coe2_bonus_v1
1991,PCAA,20.940535,1986,1990,2,31,coe2_bonus_v1
1992,FBS Independents,570.320593,1987,1991,5,486,coe2_bonus_v1
1992,SEC,297.254437,1987,1991,5,213,coe2_bonus_v1
1992,Pac-10,217.388787,1987,1991,5,165,coe2_bonus_v1
1992,Big 8,189.583395,1987,1991,5,159,coe2_bonus_v1
1992,Big Ten,187.430112,1987,1991,5,170,coe2_bonus_v1
1992,ACC,179.292541,1987,1991,5,140,coe2_bonus_v1
1992,Southwest,165.222799,1987,1991,5,138,coe2_bonus_v1
1992,Western Athletic,149.587228,1987,1991,5,158,coe2_bonus_v1
1992,Big East,76.228487,1987,1991,1,50,coe2_bonus_v1
1992,Mid-American,75.761039,1987,1991,5,106,coe2_bonus_v1
1992,Big West,52.472794,1987,1991,4,78,coe2_bonus_v1
1992,PCAA,8.981705,1987,1991,1,15,coe2_bonus_v1
1993,FBS Independents,506.680226,1988,1992,5,484,coe2_bonus_v1
1993,SEC,295.399317,1988,1992,5,200,coe2_bonus_v1
1993,Pac-10,225.161067,1988,1992,5,164,coe2_bonus_v1
1993,ACC,189.646907,1988,1992,5,138,coe2_bonus_v1
1993,Big 8,189.183604,1988,1992,5,159,coe2_bonus_v1
1993,Big Ten,179.289952,1988,1992,5,171,coe2_bonus_v1
1993,Western Athletic,173.245612,1988,1992,5,164,coe2_bonus_v1
1993,Southwest,171.00864,1988,1992,5,142,coe2_bonus_v1
1993,Big East,129.902616,1988,1992,2,96,coe2_bonus_v1
1993,Mid-American,87.304846,1988,1992,5,111,coe2_bonus_v1
1993,Big West,70.172521,1988,1992,5,95,coe2_bonus_v1
1994,FBS Independents,452.127228,1989,1993,5,465,coe2_bonus_v1
1994,SEC,308.962536,1989,1993,5,201,coe2_bonus_v1
1994,Pac-10,219.266621,1989,1993,5,164,coe2_bonus_v1
1994,Big Ten,211.503809,1989,1993,5,174,coe2_bonus_v1
1994,Big 8,197.753724,1989,1993,5,157,coe2_bonus_v1
1994,ACC,194.656655,1989,1993,5,144,coe2_bonus_v1
1994,Big East,178.668608,1989,1993,3,130,coe2_bonus_v1
1994,Southwest,167.341728,1989,1993,5,147,coe2_bonus_v1
1994,Western Athletic,162.996388,1989,1993,5,166,coe2_bonus_v1
1994,Big West,82.185142,1989,1993,5,110,coe2_bonus_v1
1994,Mid-American,81.032506,1989,1993,5,116,coe2_bonus_v1
1995,FBS Independents,373.899816,1990,1994,5,435,coe2_bonus_v1
1995,SEC,303.447924,1990,1994,5,197,coe2_bonus_v1
1995,Big Ten,234.236362,1990,1994,5,179,coe2_bonus_v1
1995,Big East,220.952948,1990,1994,4,166,coe2_bonus_v1
1995,Pac-10,218.262572,1990,1994,5,164,coe2_bonus_v1
1995,Big 8,211.317005,1990,1994,5,159,coe2_bonus_v1
1995,ACC,192.814266,1990,1994,5,140,coe2_bonus_v1
1995,Western Athletic,184.234951,1990,1994,5,167,coe2_bonus_v1
1995,Southwest,172.525855,1990,1994,5,155,coe2_bonus_v1
1995,Big West,88.60389,1990,1994,5,127,coe2_bonus_v1
1995,Mid-American,83.933717,1990,1994,5,113,coe2_bonus_v1
1996,FBS Independents,355.692431,1991,1995,5,410,coe2_bonus_v1
1996,SEC,311.656707,1991,1995,5,197,coe2_bonus_v1
1996,Big Ten,263.10097,1991,1995,5,185,coe2_bonus_v1
