conference,season_year,conference_coe2,external_games_counted
SEC,2014,102.653091,52
Big Ten,2014,99.941857,55
ACC,2014,79.169294,50
Pac-12,2014,75.150966,38
FBS Independents,2014,63.398137,42
Mountain West,2014,59.117301,48
Conference USA,2014,54.050782,44
Big 12,2014,44.225238,29
American Athletic,2014,30.846412,41
Mid-American,2014,28.873265,43
Sun Belt,2014,15.206207,32
Big Ten,2015,108.125236,59
SEC,2015,104.261648,53
Pac-12,2015,74.445686,39
ACC,2015,65.57858,50
American Athletic,2015,63.051052,45
Big 12,2015,50.044047,29
FBS Independents,2015,49.857523,35
Mid-American,2015,47.275865,49
Conference USA,2015,38.137116,44
Mountain West,2015,36.260026,45
Sun Belt,2015,22.962595,38
ACC,2016,108.688116,54
SEC,2016,89.979749,54
Big Ten,2016,74.317323,44
American Athletic,2016,58.657708,43
Pac-12,2016,55.024601,34
Mountain West,2016,54.487446,45
FBS Independents,2016,51.193861,42
Mid-American,2016,44.220017,41
Sun Belt,2016,43.75967,40
Big 12,2016,43.066158,28
Conference USA,2016,35.763207,47
SEC,2017,94.285751,52
Big Ten,2017,93.749638,47
ACC,2017,81.223071,51
FBS Independents,2017,67.067512,45
American Athletic,2017,58.165781,42
Big 12,2017,54.142049,31
Pac-12,2017,53.908829,37
Conference USA,2017,51.503626,53
Mountain West,2017,46.184723,44
Mid-American,2017,33.51622,42
Sun Belt,2017,29.183162,38
SEC,2018,101.084916,52
Big Ten,2018,76.720955,48
ACC,2018,74.633355,51
FBS Independents,2018,71.402605,50
Mountain West,2018,56.331663,42
Big 12,2018,52.838937,28
Pac-12,2018,47.754162,34
American Athletic,2018,47.231877,43
Sun Belt,2018,41.94277,33
Conference USA,2018,40.176806,47
Mid-American,2018,29.355099,44
SEC,2019,89.063957,51
Big Ten,2019,88.466242,47
American Athletic,2019,80.760249,45
Mountain West,2019,67.058589,44
ACC,2019,64.621839,50
FBS Independents,2019,58.876628,57
Pac-12,2019,56.778794,35
Sun Belt,2019,43.076319,35
Conference USA,2019,41.742202,51
Big 12,2019,41.325216,27
Mid-American,2019,28.910369,44
FBS Independents,2020,86.960164,43
Sun Belt,2020,45.27987,30
American Athletic,2020,22.716857,21
Big 12,2020,21.082139,11
Conference USA,2020,20.684648,33
SEC,2020,20.314666,9
ACC,2020,17.294315,23
Big Ten,2020,8.995482,5
Mountain West,2020,8.937415,8
Mid-American,2020,6.075768,2
Pac-12,2020,3.015939,3
SEC,2021,106.874668,56
Big Ten,2021,86.097052,45
FBS Independents,2021,75.860616,68
Mountain West,2021,71.813391,44
ACC,2021,61.2575,46
Big 12,2021,55.254599,28
American Athletic,2021,52.971937,38
Sun Belt,2021,42.580494,35
Conference USA,2021,40.991589,50
Mid-American,2021,39.829066,44
Pac-12,2021,25.827779,32
SEC,2022,107.75989,54
ACC,2022,79.820462,50
FBS Independents,2022,78.412216,63
Big Ten,2022,73.336473,42
Sun Belt,2022,57.515288,45
Pac-12,2022,55.465177,33
American Athletic,2022,54.558703,41
Big 12,2022,53.404252,31
Conference USA,2022,43.015017,40
Mountain West,2022,38.980052,43
Mid-American,2022,34.207915,42
ACC,2023,88.62762,54
SEC,2023,87.499528,50
Big Ten,2023,81.872853,45
Pac-12,2023,72.927153,36
Sun Belt,2023,70.549544,52
Big 12,2023,64.051753,38
Mountain West,2023,48.475501,43
FBS Independents,2023,42.927102,40
American Athletic,2023,40.143781,49
Mid-American,2023,36.228527,41
Conference USA,2023,27.716308,26
SEC,2024,118.186058,64
Big Ten,2024,107.604278,58
ACC,2024,94.056488,65
Big 12,2024,65.460614,39
Mountain West,2024,57.34832,52
FBS Independents,2024,55.460516,36
American Athletic,2024,55.38464,48
Sun Belt,2024,50.193892,48
Mid-American,2024,42.573691,44
Conference USA,2024,27.999702,33
Pac-12,2024,27.389301,21
SEC,2025,114.020183,63
Big Ten,2025,103.405665,55
ACC,2025,94.133225,62
American Athletic,2025,79.973348,50
Big 12,2025,68.509513,38
Mountain West,2025,46.781711,43
Sun Belt,2025,45.390384,49
FBS Independents,2025,45.302031,23
Conference USA,2025,28.774422,36
Mid-American,2025,22.935467,44
Pac-12,2025,14.911439,19
Big Ten,2026,70.719273,39
SEC,2026,63.657032,28
Big 12,2026,46.98054,26
ACC,2026,37.035899,24
American Athletic,2026,29.232601,27
Sun Belt,2026,21.862607,25
Mid-American,2026,14.001918,25
Conference USA,2026,12.473001,19
Pac-12,2026,11.702959,17
FBS Independents,2026,9.118776,5
Mountain West,2026,8.166347,14
