end_year,window_start,window_end,conference_name,coeff_5yr
2014,2010,2014,Big Ten,21.217514
2014,2010,2014,Pac-12,20.88528
2014,2010,2014,SEC,20.495689
2014,2010,2014,ACC,18.705669
2014,2010,2014,Big 12,9.735918
2014,2010,2014,Mountain West,9.503028
2014,2010,2014,Conference USA,8.359955
2014,2010,2014,American Athletic,6.633606
2014,2010,2014,Mid-American,5.318825
2014,2010,2014,FBS Independents,3.644104
2014,2010,2014,Sun Belt,3.500412
2015,2011,2015,SEC,42.899038
2015,2011,2015,Pac-12,38.679086
2015,2011,2015,Big Ten,38.674968
2015,2011,2015,ACC,30.366899
2015,2011,2015,Big 12,21.557021
2015,2011,2015,Mountain West,16.847927
2015,2011,2015,American Athletic,15.393014
2015,2011,2015,Conference USA,13.544896
2015,2011,2015,Mid-American,12.667446
2015,2011,2015,Sun Belt,8.788953
2015,2011,2015,FBS Independents,6.340752
2016,2012,2016,SEC,61.559043
2016,2012,2016,ACC,53.518707
2016,2012,2016,Big Ten,51.164439
2016,2012,2016,Pac-12,48.848096
2016,2012,2016,Big 12,30.181679
2016,2012,2016,Mountain West,23.784018
2016,2012,2016,American Athletic,22.741965
2016,2012,2016,Conference USA,20.111414
2016,2012,2016,Mid-American,18.152022
2016,2012,2016,Sun Belt,15.195196
2016,2012,2016,FBS Independents,8.84262
2017,2013,2017,SEC,80.034967
2017,2013,2017,ACC,67.70819
2017,2013,2017,Big Ten,66.812253
2017,2013,2017,Pac-12,57.621637
2017,2013,2017,Big 12,41.320026
2017,2013,2017,American Athletic,31.291718
2017,2013,2017,Mountain West,29.631527
2017,2013,2017,Conference USA,26.226558
2017,2013,2017,Mid-American,22.768737
2017,2013,2017,Sun Belt,19.710607
2017,2013,2017,FBS Independents,12.645044
2018,2014,2018,SEC,94.971494
2018,2014,2018,ACC,82.453366
2018,2014,2018,Big Ten,81.793188
2018,2014,2018,Pac-12,67.533346
2018,2014,2018,Big 12,52.446265
2018,2014,2018,American Athletic,36.148385
2018,2014,2018,Mountain West,34.353842
2018,2014,2018,Conference USA,31.028761
2018,2014,2018,Mid-American,27.752455
2018,2014,2018,Sun Belt,23.62966
2018,2014,2018,FBS Independents,17.1988
2019,2015,2019,SEC,94.890441
2019,2015,2019,ACC,79.737507
2019,2015,2019,Big Ten,79.447836
2019,2015,2019,Pac-12,65.824692
2019,2015,2019,Big 12,52.785612
2019,2015,2019,American Athletic,38.952215
2019,2015,2019,Mountain West,34.996066
2019,2015,2019,Conference USA,30.304458
2019,2015,2019,Mid-American,30.06261
2019,2015,2019,Sun Belt,26.001989
2019,2015,2019,FBS Independents,17.998938
2020,2016,2020,SEC,119.272843
2020,2016,2020,ACC,83.72494
2020,2016,2020,Big Ten,70.486747
2020,2016,2020,Big 12,60.978698
2020,2016,2020,Pac-12,48.407195
2020,2016,2020,American Athletic,35.803532
2020,2016,2020,Sun Belt,29.923368
2020,2016,2020,Mountain West,28.41853
2020,2016,2020,Conference USA,28.278416
2020,2016,2020,Mid-American,23.118359
2020,2016,2020,FBS Independents,21.147111
2021,2017,2021,SEC,119.879478
2021,2017,2021,Big Ten,74.022638
2021,2017,2021,ACC,72.480525
2021,2017,2021,Big 12,66.007832
2021,2017,2021,Pac-12,44.701641
2021,2017,2021,American Athletic,35.900064
2021,2017,2021,Mountain West,31.899168
2021,2017,2021,Conference USA,28.689519
2021,2017,2021,Sun Belt,28.511728
2021,2017,2021,Mid-American,25.847716
2021,2017,2021,FBS Independents,23.292215
2022,2018,2022,SEC,119.458399
2022,2018,2022,Big Ten,71.795143
2022,2018,2022,ACC,70.81132
2022,2018,2022,Big 12,66.955166
2022,2018,2022,Pac-12,46.123039
2022,2018,2022,American Athletic,35.434085
2022,2018,2022,Sun Belt,31.907197
2022,2018,2022,Mountain West,31.055916
2022,2018,2022,Conference USA,27.806412
2022,2018,2022,Mid-American,26.904983
2022,2018,2022,FBS Independents,24.201666
2023,2019,2023,SEC,112.657163
2023,2019,2023,Big Ten,74.672617
2023,2019,2023,Big 12,68.563299
2023,2019,2023,ACC,68.54108
2023,2019,2023,Pac-12,51.444293
2023,2019,2023,Sun Belt,36.677686
2023,2019,2023,American Athletic,35.333952
2023,2019,2023,Mountain West,34.203988
2023,2019,2023,Mid-American,26.354107
2023,2019,2023,Conference USA,25.350067
2023,2019,2023,FBS Independents,21.77821
2024,2020,2024,SEC,113.431693
2024,2020,2024,Big Ten,96.308207
2024,2020,2024,Big 12,69.135964
2024,2020,2024,ACC,68.390323
2024,2020,2024,Sun Belt,37.119989
2024,2020,2024,Pac-12,37.056486
2024,2020,2024,American Athletic,32.799308
2024,2020,2024,Mountain West,30.559126
2024,2020,2024,Mid-American,28.282991
2024,2020,2024,FBS Independents,24.251177
2024,2020,2024,Conference USA,22.114482
2025,2021,2025,Big Ten,112.406143
2025,2021,2025,SEC,94.914437
2025,2021,2025,ACC,76.901986
2025,2021,2025,Big 12,66.613093
2025,2021,2025,American Athletic,37.216306
2025,2021,2025,Sun Belt,36.110391
2025,2021,2025,Pac-12,34.825896
2025,2021,2025,Mountain West,33.68713
2025,2021,2025,Mid-American,30.469415
2025,2021,2025,Conference USA,23.501926
2025,2021,2025,FBS Independents,20.343691
