season_year,conference_name,rating
1980,FBS Independents,22.751159
1980,Southwest,16.853037
1980,Pac-10,14.220562
1980,SEC,13.702252
1980,Big Ten,10.648927
1980,Big 8,9.666345
1980,Western Athletic,7.546067
1980,ACC,6.979399
1980,Mid-American,2.435542
1980,PCAA,1.189195
1980,Missouri Valley,0.619216
1980,Southland,0.275331
1980,Southern,0.112969
1981,FBS Independents,22.381627
1981,Big Ten,19.793882
1981,SEC,13.098403
1981,Pac-10,12.250147
1981,Big 8,11.065544
1981,Southwest,10.577414
1981,ACC,6.768545
1981,Western Athletic,6.668562
1981,Mid-American,2.496972
1981,PCAA,1.331923
1981,Southland,0.863639
1981,Missouri Valley,0.73024
1981,Southern,0.707695
1982,Pac-10,17.501845
1982,FBS Independents,17.488553
1982,Big Ten,14.88853
1982,SEC,14.550689
1982,Western Athletic,9.295562
1982,Southwest,8.565301
1982,Big 8,7.575917
1982,ACC,5.964328
1982,PCAA,2.326683
1982,Mid-American,1.961087
1982,Missouri Valley,1.017072
1983,FBS Independents,21.562309
1983,SEC,19.430557
1983,Big Ten,14.616681
1983,Big 8,10.83087
1983,Pac-10,8.789874
1983,Western Athletic,8.067739
1983,Southwest,7.451559
1983,ACC,5.453323
1983,Mid-American,2.259244
1983,PCAA,1.731506
1983,Missouri Valley,0.932494
1984,FBS Independents,23.020231
1984,Big Ten,15.694349
1984,SEC,13.723386
1984,Pac-10,11.871172
1984,Southwest,10.234419
1984,ACC,8.042571
1984,Big 8,7.525044
1984,Western Athletic,6.83418
1984,Mid-American,2.519343
1984,PCAA,1.827522
1984,Missouri Valley,0.318578
1985,Big Ten,16.728009
1985,Pac-10,16.048314
1985,FBS Independents,14.528963
1985,SEC,11.700938
1985,Southwest,11.033948
1985,Western Athletic,9.883981
1985,Big 8,9.688528
1985,ACC,6.165258
1985,Mid-American,3.387352
1985,PCAA,1.724138
1985,Missouri Valley,0.417122
1986,FBS Independents,19.870751
1986,Pac-10,17.458705
1986,SEC,15.666037
1986,Big Ten,13.026749
1986,Southwest,8.341681
1986,Western Athletic,6.958827
1986,ACC,6.922737
1986,Big 8,6.764411
1986,Mid-American,4.28575
1986,PCAA,2.154343
1987,FBS Independents,27.980743
1987,SEC,15.302848
1987,Big Ten,12.463597
1987,Pac-10,10.03256
1987,Southwest,9.024903
1987,ACC,8.637649
1987,Big 8,7.522414
1987,Western Athletic,4.963413
1987,Mid-American,4.036736
1987,PCAA,1.533974
1988,FBS Independents,26.918863
1988,Pac-10,16.091085
1988,SEC,12.946102
1988,Big Ten,10.756518
1988,Western Athletic,9.041838
1988,Big 8,8.043736
1988,ACC,7.760363
1988,Southwest,5.877108
1988,Mid-American,2.438121
1988,Big West,1.316168
1989,FBS Independents,24.778045
1989,Pac-10,15.763382
1989,SEC,13.95085
1989,Southwest,12.475385
1989,Big Ten,10.658569
1989,ACC,8.179632
1989,Western Athletic,6.926201
1989,Big 8,6.879748
1989,Mid-American,1.855351
1989,Big West,1.767947
1990,FBS Independents,21.511281
1990,Pac-10,19.780558
1990,Big Ten,12.847897
1990,SEC,10.372027
1990,Western Athletic,9.892538
1990,Big 8,9.215629
1990,Southwest,8.858283
1990,ACC,8.22145
1990,Big West,1.820949
1990,Mid-American,1.637515
1991,FBS Independents,16.822812
1991,Pac-10,15.590879
1991,SEC,14.057515
1991,Big Ten,12.484965
1991,Big East,10.018076
1991,Southwest,8.764284
1991,ACC,7.60018
1991,Big 8,6.807361
1991,Western Athletic,6.665563
1991,Mid-American,3.590298
1991,Big West,1.703789
1992,SEC,18.75484
1992,Pac-10,16.709772
1992,Western Athletic,12.048239
1992,ACC,10.835844
1992,Big Ten,10.058296
1992,FBS Independents,9.169313
1992,Southwest,7.905116
1992,Big 8,7.05273
1992,Big East,6.512249
1992,Mid-American,3.9501
1992,Big West,2.047499
1993,Pac-10,18.426875
1993,Big Ten,17.695879
1993,SEC,12.246951
1993,ACC,10.92319
1993,Big 8,9.272508
1993,Big East,9.100591
1993,Western Athletic,8.16437
1993,FBS Independents,7.481087
1993,Southwest,5.627138
1993,Big West,3.31035
1993,Mid-American,2.784315
1994,Pac-10,16.400037
1994,Big Ten,15.574924
1994,SEC,14.092363
1994,Western Athletic,13.642011
1994,ACC,9.831133
1994,Big 8,8.92951
1994,Southwest,8.373406
1994,Big East,7.811691
1994,FBS Independents,6.352302
1994,Big West,3.135222
1994,Mid-American,1.857401
1995,Big Ten,17.6498
1995,SEC,17.299878
1995,Big 8,12.062625
1995,Pac-10,10.680916
1995,ACC,9.400561
1995,FBS Independents,8.833715
1995,Southwest,8.747175
1995,Big East,8.146154
1995,Western Athletic,6.710689
1995,Mid-American,4.533033
1995,Big West,2.978941
1996,Big Ten,18.155923
1996,SEC,17.369205
1996,Big 12,14.899153
1996,Western Athletic,12.927581
1996,Pac-10,12.296161
1996,ACC,9.748216
1996,Big East,7.946899
1996,FBS Independents,7.059153
1996,Conference USA,5.675714
1996,Mid-American,3.073478
1996,Big West,1.908834
1997,SEC,22.668298
1997,Pac-10,16.109262
1997,Big 12,14.849378
1997,Big Ten,13.670553
1997,Western Athletic,12.669199
1997,ACC,9.358946
1997,Mid-American,6.382483
1997,Big East,5.143867
1997,FBS Independents,4.657741
1997,Conference USA,4.491426
1997,Big West,2.052838
1998,Big 12,17.685163
1998,Big Ten,16.308636
1998,SEC,15.539164
1998,Pac-10,13.679673
1998,Western Athletic,13.323363
1998,ACC,10.899573
1998,Big East,8.071131
1998,Mid-American,5.193605
1998,Conference USA,4.585546
1998,FBS Independents,4.123393
1998,Big West,2.590754
1999,Big Ten,18.928264
1999,SEC,15.992909
1999,Big 12,14.084212
1999,Pac-10,13.325884
1999,ACC,11.651318
1999,Mountain West,7.180675
1999,Conference USA,7.156754
1999,Big East,7.000984
1999,Western Athletic,6.613487
1999,Mid-American,4.66115
1999,Big West,3.967818
1999,FBS Independents,3.436546
2000,Big Ten,17.247737
2000,SEC,16.332159
2000,Pac-10,15.989053
2000,Big 12,14.855537
2000,Big East,9.71612
2000,ACC,8.895678
2000,Mid-American,7.231785
2000,Conference USA,6.885178
2000,Mountain West,6.399522
2000,Western Athletic,6.090345
2000,FBS Independents,3.770894
2000,Big West,2.585991
2001,SEC,20.853793
2001,Big 12,15.309644
2001,Big Ten,15.102443
2001,ACC,14.288701
2001,Pac-10,12.06901
2001,Big East,10.107384
2001,Western Athletic,6.921099
2001,Mid-American,5.963414
2001,Conference USA,5.778015
2001,Mountain West,5.269657
2001,FBS Independents,3.167445
2001,Sun Belt,2.169396
2002,Big 12,16.11264
2002,Big Ten,15.743766
