k,home_field,offseason_retention,brier_score
35,50,0.8,0.18359173182521485
30,50,0.8,0.18377672172285758
40,50,0.8,0.1838532851873684
35,50,0.7,0.18390713472253795
40,50,0.7,0.1839460043727971
35,75,0.8,0.18398949598743763
40,75,0.8,0.18415109830069923
30,50,0.9,0.18421433481652938
30,75,0.8,0.18427916199998648
35,50,0.9,0.18429883585739645
40,75,0.7,0.1843263523845535
30,50,0.7,0.18436206808661512
35,75,0.7,0.1843865506828538
25,50,0.8,0.18457035647319658
35,75,0.9,0.18457884548778564
30,75,0.9,0.18459985401698098
25,50,0.9,0.18465901074183755
40,50,0.6,0.18471537917128653
40,50,0.9,0.18477591597343895
35,50,0.6,0.1848905727507482
35,25,0.8,0.1849007730844164
30,75,0.7,0.18494341130937667
40,75,0.9,0.1849572101562895
30,25,0.8,0.18503029064989326
40,75,0.6,0.18515634383178148
25,75,0.9,0.18515773720008483
25,75,0.8,0.1851823308471922
40,25,0.8,0.18521839992476863
35,25,0.7,0.18525734419093565
40,25,0.7,0.18534969550481745
35,75,0.6,0.18542892144263076
30,25,0.9,0.1854412232991952
25,50,0.7,0.18549334455232314
35,25,0.9,0.18558568848215334
30,50,0.6,0.18559949999928624
30,25,0.7,0.18566152037290654
25,25,0.8,0.18577126400789412
25,25,0.9,0.18582519084496837
20,50,0.9,0.1858623792484474
35,100,0.8,0.18595306723903324
40,100,0.8,0.18597419693519954
40,50,0.5,0.18603968207973626
40,25,0.9,0.18612065947698608
40,25,0.6,0.1861687019055247
25,75,0.7,0.18617891847120135
30,75,0.6,0.18623640204931188
20,50,0.8,0.18624433911372648
35,25,0.6,0.18629287240428213
35,100,0.9,0.18629940291177244
40,100,0.7,0.18634101859896385
30,100,0.8,0.18639322392241325
35,50,0.5,0.18641323794517142
30,100,0.9,0.18646776261334652
20,75,0.9,0.1864827732285991
40,75,0.5,0.18652344896893247
40,100,0.9,0.18654177778804282
35,100,0.7,0.1865428980500122
25,25,0.7,0.18674752017616816
30,25,0.6,0.18695508801596025
20,75,0.8,0.1869699680795685
20,25,0.9,0.1869702402501368
35,75,0.5,0.18699207040083266
30,50,1.0,0.18703751043113498
25,50,0.6,0.18703990130076953
25,100,0.9,0.1871874038577863
30,75,1.0,0.18722099316136315
25,50,1.0,0.1872411883619161
30,100,0.7,0.18724995163137326
35,50,1.0,0.18728552592771383
40,100,0.6,0.1873318639197691
30,50,0.5,0.1873523815561441
35,75,1.0,0.1873730781544203
20,25,0.8,0.18739999072780422
25,100,0.8,0.18745929570095515
25,75,1.0,0.18752966790900638
40,25,0.5,0.18755144061600193
20,50,0.7,0.1876050442635502
35,100,0.6,0.18774561870435555
25,75,0.6,0.1877752403240026
40,75,1.0,0.18787560943267495
35,25,0.5,0.187876196643007
40,50,1.0,0.1878765624296473
35,0,0.8,0.18797053311942122
30,75,0.5,0.18802585552084883
20,50,1.0,0.1880803801010714
30,0,0.8,0.1880981025576348
15,50,0.9,0.18825891918686913
30,25,1.0,0.18828941146185324
40,0,0.8,0.18829619044821294
30,0,0.9,0.1883293956831125
25,25,0.6,0.18835620098854453
20,75,0.7,0.18839501434794226
25,25,1.0,0.1884321457517544
35,0,0.9,0.18848401762145206
20,75,1.0,0.18848538697406625
35,0,0.7,0.18849814742696805
40,0,0.7,0.18859422889913124
35,25,1.0,0.1885948874203765
25,100,0.7,0.1886457126844412
20,100,0.9,0.18869310360159558
30,100,0.6,0.1887010471384391
25,0,0.9,0.18870972450897536
30,100,1.0,0.1887297738092414
35,100,1.0,0.18875083218192198
30,25,0.5,0.18877200116190263
20,25,0.7,0.18882489651994774
40,100,0.5,0.18883459097271912
25,0,0.8,0.18884780799231113
30,0,0.7,0.18890695933153978
15,75,0.9,0.1890092278454229
40,0,0.9,0.18903204749840194
25,50,0.5,0.1890645642812358
40,100,1.0,0.18913327767712476
25,100,1.0,0.18918390350366654
20,25,1.0,0.18920795518457723
40,25,1.0,0.18923959054953557
15,50,0.8,0.18930777456670086
15,25,0.9,0.18931852558885795
20,100,0.8,0.18942521656258982
35,100,0.5,0.18944232288469992
20,50,0.6,0.18953758188738803
40,0,0.6,0.18957863979582784
35,0,0.6,0.18970228491014898
25,75,0.5,0.18983019553234529
20,0,0.9,0.18986479286240399
15,50,1.0,0.1899070585821572
25,0,0.7,0.19001097476600154
15,75,0.8,0.19014760349933776
20,100,1.0,0.1903052781120544
20,75,0.6,0.1903676172891037
30,0,0.6,0.1903737647940026
25,100,0.6,0.19039502761770308
15,25,0.8,0.1904359643860469
15,75,1.0,0.19044393525544046
25,25,0.5,0.19044965434036065
20,0,0.8,0.1905045029150745
30,100,0.5,0.19061996645544374
20,25,0.6,0.19082808220350725
15,25,1.0,0.19097192276728253
