Team-specific HFA validation report -- as of 2026-09-21
national FBS baseline H_FBS = 1.1278  (1.0000 would mean home teams win exactly as often as neutral Elo expects)
138 teams

== adjusted_hfa DESC ==
team                            raw  adjusted    N_eff  lambda  baseline  games
Georgia Southern             1.3203    1.2363     38.8   0.564    1.1278     58
Hawai'i                      1.2419    1.2115     82.6   0.733    1.1278    292
Kennesaw State               1.4600    1.2113     10.1   0.251    1.1278     11
Jacksonville State           1.3644    1.2098     15.9   0.347    1.1278     18
SMU                          1.2391    1.2059     70.5   0.701    1.1278    232
Wyoming                      1.2351    1.2021     67.7   0.693    1.1278    234
South Carolina               1.2265    1.2000     81.6   0.731    1.1278    272
Navy                         1.2335    1.1997     63.9   0.680    1.1278    204
Arizona State                1.2270    1.1992     77.1   0.720    1.1278    275
Kansas State                 1.2215    1.1955     78.2   0.723    1.1278    253
Washington                   1.2182    1.1938     81.3   0.731    1.1278    278
Arkansas State               1.2262    1.1932     59.5   0.665    1.1278    153
Missouri                     1.2165    1.1922     79.4   0.726    1.1278    268
LSU                          1.2094    1.1881     84.8   0.739    1.1278    293
West Virginia                1.2101    1.1864     74.2   0.712    1.1278    261
Iowa                         1.2046    1.1843     83.6   0.736    1.1278    275
Oregon                       1.2041    1.1828     77.7   0.721    1.1278    255
NC State                     1.2040    1.1827     77.3   0.721    1.1278    255
Ole Miss                     1.1953    1.1774     82.7   0.734    1.1278    269
BYU                          1.1947    1.1751     72.7   0.708    1.1278    260
California                   1.1935    1.1744     73.2   0.709    1.1278    253
Michigan                     1.1887    1.1738     92.8   0.756    1.1278    305
Iowa State                   1.1916    1.1736     76.4   0.718    1.1278    256
USC                          1.1889    1.1732     86.6   0.743    1.1278    282
Toledo                       1.1884    1.1701     69.1   0.697    1.1278    234
Florida                      1.1864    1.1701     77.4   0.721    1.1278    276
Delaware                     1.3906    1.1697      5.7   0.159    1.1278      6
Stanford                     1.1858    1.1697     78.0   0.722    1.1278    267
Utah State                   1.1875    1.1683     63.1   0.678    1.1278    190
Texas                        1.1820    1.1681     86.7   0.743    1.1278    286
Memphis                      1.1805    1.1655     75.5   0.716    1.1278    246
Miami (FL)                   1.1769    1.1630     76.3   0.718    1.1278    259
Minnesota                    1.1711    1.1596     82.7   0.734    1.1278    272
Oklahoma State               1.1719    1.1595     76.5   0.718    1.1278    250
UTSA                         1.1793    1.1593     47.3   0.612    1.1278     75
Ohio                         1.1716    1.1577     64.4   0.682    1.1278    212
Appalachian State            1.1721    1.1534     41.2   0.578    1.1278     63
San Jose State               1.1654    1.1532     62.7   0.676    1.1278    180
North Dakota State           1.9069    1.1528      1.0   0.032    1.1278      1
Texas Tech                   1.1627    1.1525     72.8   0.708    1.1278    250
