season_year,team_name,v1_rank,v2_rank,rank_diff,v1_rating,v2_season_coe
2005,Texas,1,2,-1,3.266828,31.568415259611164
2005,Virginia Tech,2,6,-4,2.759034,27.788753113104157
2005,Penn State,3,1,2,2.60269,31.731855626546366
2005,LSU,4,13,-9,2.376873,25.08727448961756
2005,Miami (FL),5,27,-22,2.338457,20.43854521522745
2005,Ohio State,6,17,-11,2.142032,23.810015146004883
2005,Boston College,7,15,-8,2.104421,24.186487352068248
2005,Florida State,8,50,-42,2.087394,17.4919276155463
2005,Clemson,9,20,-11,2.082518,22.25201284181875
2005,TCU,10,3,7,2.081535,31.031995687566596
2005,USC,11,10,1,2.040564,26.303390618479018
2005,Oklahoma,12,41,-29,2.003398,17.834132951766453
2005,Wisconsin,13,11,2,1.936983,26.08873790027412
2005,Georgia Tech,14,33,-19,1.892979,19.44462369396549
2005,Florida,15,19,-4,1.885803,23.05583718675779
2005,UCLA,16,7,9,1.876012,27.75572920514296
2005,Alabama,17,4,13,1.870199,27.992872901081665
2005,Georgia,18,16,2,1.86853,24.14663018648467
2005,West Virginia,19,5,14,1.781758,27.97919615637154
2005,Nebraska,20,28,-8,1.768033,20.188352912313526
2005,Virginia,21,38,-17,1.671372,18.510141907582028
2005,NC State,22,45,-23,1.651508,17.72114768610199
2005,Texas Tech,23,58,-35,1.588255,16.05166116961273
2005,Colorado,24,44,-20,1.564985,17.759308643157958
2005,Michigan,25,51,-26,1.554605,17.27251438695154
2005,Missouri,26,25,1,1.535469,20.79130854895177
2005,North Carolina,27,66,-39,1.533142,15.194182688624055
2005,Auburn,28,36,-8,1.47554,18.85811112704592
2005,Notre Dame,29,14,15,1.443758,24.32197266543192
2005,Utah,30,46,-16,1.426311,17.696027591816986
2005,Kansas,31,47,-16,1.418516,17.694748199565314
2005,Minnesota,32,34,-2,1.366322,19.437555389696726
2005,Northwestern,33,24,9,1.35839,21.009798200651392
2005,Oregon,34,18,16,1.296734,23.79612254164123
2005,Maryland,35,71,-36,1.282871,13.475987417673476
2005,Tulsa,36,8,28,1.273106,27.090364592886807
2005,South Carolina,37,32,5,1.266762,19.483320682785997
2005,Iowa State,38,40,-2,1.237495,18.375547421191627
2005,Iowa,39,67,-28,1.221865,14.961803309557947
2005,Wake Forest,40,81,-41,1.134836,12.013749733745456
2005,Arizona State,41,37,4,1.112697,18.772704394289676
2005,Louisville,42,21,21,1.1122,22.194910212420186
2005,Colorado State,43,53,-10,1.089527,16.85367571844447
2005,Tennessee,44,79,-35,1.049469,12.168728992733904
2005,New Mexico,45,52,-7,1.020697,17.182240334056107
2005,California,46,49,-3,0.994597,17.499072922185917
2005,Navy,47,22,25,0.960796,21.71059930697737
2005,San Diego State,48,60,-12,0.942511,15.742869152568446
2005,Memphis,49,48,1,0.939863,17.61425709064891
2005,Nevada,50,9,41,0.935725,26.510433280684573
2005,UCF,51,12,39,0.927963,25.598944316693213
2005,Kansas State,52,90,-38,0.924742,10.104710700084977
2005,SMU,53,56,-3,0.903462,16.65723967989469
2005,BYU,54,69,-15,0.902966,14.536721497888095
2005,Texas A&M,55,89,-34,0.876034,10.293842053810497
2005,UTEP,56,30,26,0.869288,19.61045392735634
2005,South Florida,57,65,-8,0.864793,15.374705753113629
2005,Stanford,58,57,1,0.859145,16.060824825018408
2005,Baylor,59,73,-14,0.852714,12.795114583331129
2005,Toledo,60,26,34,0.836452,20.533854685652102
2005,Southern Miss,61,59,2,0.810514,15.864785161048287
2005,Boise State,62,39,23,0.793037,18.458909877605844
2005,Michigan State,63,70,-7,0.783818,13.602060289717564
2005,Purdue,64,76,-12,0.780811,12.301247371194867
2005,Vanderbilt,65,68,-3,0.753345,14.573691525198274
2005,Houston,66,62,4,0.748082,15.557554807885676
2005,Fresno State,67,54,13,0.729961,16.828873341993692
2005,Central Michigan,68,29,39,0.716311,19.94440845701742
2005,Oklahoma State,69,96,-27,0.680516,8.193457739101714
2005,Air Force,70,83,-13,0.674447,11.797290608264895
2005,Arizona,71,99,-28,0.660231,7.372154378210895
2005,Rutgers,72,35,37,0.651711,18.997305871762475
2005,Northern Illinois,73,55,18,0.648938,16.750488672635715
2005,East Carolina,74,64,10,0.647751,15.445583333602976
2005,Oregon State,75,86,-11,0.64123,11.423045194453268
2005,Akron,76,23,53,0.632988,21.213439819734997
2005,Wyoming,77,82,-5,0.574322,11.834630761138879
2005,Louisiana Tech,78,31,47,0.566785,19.606880639947324
2005,Ball State,79,74,5,0.552683,12.7932206925153
2005,UAB,80,80,0,0.544395,12.060377005205703
2005,Pittsburgh,81,88,-7,0.535557,10.466547655617068
2005,Hawai'i,82,75,7,0.531056,12.468554455082012
2005,Indiana,83,95,-12,0.530076,8.274466726567123
2005,Miami (OH),84,42,42,0.529079,17.82138269689014
2005,Arkansas,85,97,-12,0.517058,7.6865803342594035
2005,Army,86,91,-5,0.508741,9.876344998297323
2005,Marshall,87,93,-6,0.506579,8.399019161826017
2005,Washington State,88,98,-10,0.498026,7.627462913649421
2005,Bowling Green,89,61,28,0.489665,15.713904256026556
2005,UConn,90,87,3,0.477877,10.82777789544449
2005,Western Michigan,91,43,48,0.477588,17.81333689474299
2005,Ole Miss,92,108,-16,0.469154,5.32890833037981
2005,Illinois,93,109,-16,0.46478,5.231844626390875
2005,Kentucky,94,101,-7,0.448297,6.3420967346516655
2005,Duke,95,116,-21,0.437567,0.0
2005,Middle Tennessee,96,77,19,0.436625,12.2897893248314
2005,UNLV,97,106,-9,0.431125,5.640903879400025
2005,Ohio,98,78,20,0.425331,12.185089839426986
2005,Louisiana,99,72,27,0.424322,13.379154487845403
2005,Mississippi State,100,100,0,0.423571,6.4394736397988215
2005,Washington,101,107,-6,0.423382,5.491094966467084
2005,Cincinnati,102,94,8,0.405772,8.33005285076598
2005,Arkansas State,103,85,18,0.403041,11.505650461368958
2005,ULM,104,63,41,0.385911,15.45558289137595
2005,Eastern Michigan,105,84,21,0.37526,11.594136605139056
2005,Rice,106,111,-5,0.365237,3.121337510447996
2005,Temple,107,117,-10,0.351476,0.0
2005,Tulane,108,112,-4,0.331341,2.929242050730741
2005,Utah State,109,92,17,0.330204,8.886450867262171
2005,Syracuse,110,114,-4,0.309517,2.219563857477173
2005,North Texas,111,113,-2,0.301639,2.8461975764842973
2005,FAU,113,102,11,0.287498,6.311365126693612
2005,Troy,114,104,10,0.278422,5.897165214210057
2005,Idaho,115,103,12,0.226512,6.2820825138324
2005,New Mexico State,116,115,1,0.225188,0.0
2005,San Jose State,117,105,12,0.213168,5.801796808392117
2005,Buffalo,118,110,8,0.15787,3.351482365939898
2005,Kent State,119,118,1,0.140847,0.0
2006,Florida,1,1,0,3.555511,31.6058629576974
2006,USC,2,23,-21,3.082598,24.35050699053886
2006,Auburn,3,9,-6,2.521888,27.11546697045577
2006,LSU,4,17,-13,2.386731,25.166681538649513
2006,California,5,24,-19,2.36781,24.173794850277382
2006,Louisville,6,4,2,2.316853,30.22538434876795
2006,Oregon State,7,11,-4,2.304067,26.502234818186615
2006,UCLA,8,48,-40,1.999581,19.206384192297612
2006,Georgia,9,44,-35,1.919574,19.911304618009726
2006,Tennessee,10,29,-19,1.917118,22.479628016495013
2006,Boise State,11,5,6,1.896292,30.035357669480902
2006,Ohio State,12,8,4,1.888865,27.711098644698588
2006,West Virginia,13,20,-7,1.852051,24.74725408136879
2006,Boston College,14,27,-13,1.831377,23.001267713653768
2006,Arkansas,15,16,-1,1.824891,25.253677360407096
2006,Michigan,16,12,4,1.766007,26.463245074690672
2006,Wake Forest,17,2,15,1.734205,30.6476503468951
2006,Oklahoma,18,18,0,1.723134,24.752279656454256
2006,Notre Dame,19,15,4,1.659657,25.40200601975747
2006,Florida State,20,56,-36,1.639027,17.327347764931364
2006,Rutgers,21,3,18,1.620769,30.265564631414183
2006,Wisconsin,22,10,12,1.602548,26.72452535924762
2006,Kentucky,23,33,-10,1.567019,21.845777513046862
2006,Oregon,24,64,-40,1.544616,16.5391677504175
2006,Virginia Tech,25,32,-7,1.540946,22.206849743685403
2006,South Carolina,26,50,-24,1.518911,18.889440344316604
2006,Arizona,27,57,-30,1.5175,17.28539680245955
2006,Texas,28,41,-13,1.516397,20.46881930424139
2006,BYU,29,6,23,1.511651,29.95998412937824
2006,Washington State,30,63,-33,1.4917,16.815234999151937
2006,Maryland,31,28,3,1.453052,22.85804683022673
2006,Georgia Tech,32,36,-4,1.415324,21.48179518097597
2006,Clemson,33,43,-10,1.377145,19.94624900824137
2006,Penn State,34,42,-8,1.361501,20.292235724422245
2006,Arizona State,35,62,-27,1.32383,16.837462172936256
2006,Washington,36,67,-31,1.323492,15.636624335420946
2006,Nebraska,37,39,-2,1.271987,20.81656496546715
2006,Hawai'i,38,13,25,1.243388,26.24850184257105
2006,South Florida,39,25,14,1.216991,23.85286239598801
2006,Texas A&M,40,31,9,1.199372,22.392370234427542
2006,Cincinnati,41,45,-4,1.196354,19.85750893715896
2006,Houston,42,14,28,1.178584,25.810207686677458
2006,Southern Miss,43,35,8,1.127995,21.626738652794877
2006,Miami (FL),44,76,-32,1.086503,13.499173221996344
2006,Texas Tech,45,54,-9,1.079728,18.01436561251822
2006,Missouri,46,46,0,1.046029,19.848281939283815
2006,Oklahoma State,47,61,-14,1.039773,16.905854713880018
2006,Central Michigan,48,7,41,1.005867,28.991780441884366
2006,TCU,49,19,30,0.99916,24.750615416463077
2006,Kansas State,50,58,-8,0.937234,17.269576171582802
2006,Alabama,51,77,-26,0.917434,13.392850480314912
2006,East Carolina,52,34,18,0.907966,21.78067904600961
2006,Utah,53,55,-2,0.901662,17.497643960333505
2006,Rice,54,30,24,0.895601,22.399358955458208
2006,Tulsa,55,47,8,0.890757,19.368249425400453
2006,Troy,56,40,16,0.825622,20.700537339411536
2006,Navy,57,38,19,0.809362,21.0244766161282
2006,NC State,58,103,-45,0.794057,6.572284095431861
2006,San Jose State,59,21,38,0.771456,24.70924914051767
2006,Purdue,60,51,9,0.76129,18.415755471885785
2006,Pittsburgh,61,74,-13,0.743458,13.876387503049898
2006,Vanderbilt,62,93,-31,0.741016,9.408694073788745
2006,Virginia,63,75,-12,0.730845,13.606628514572861
2006,Western Michigan,64,26,38,0.719513,23.784193426911898
2006,Ohio,65,22,43,0.710575,24.485727289722572
2006,Minnesota,66,78,-12,0.702453,13.151165285288805
2006,Kansas,67,70,-3,0.69852,14.647326341491656
2006,Nevada,68,37,31,0.683007,21.281845279626985
2006,Iowa,69,82,-13,0.681938,11.768712106622957
2006,Stanford,70,114,-44,0.667243,3.372820862875708
2006,Middle Tennessee,71,59,12,0.628659,17.069928219340433
2006,SMU,72,71,1,0.612095,14.605826111863138
2006,Tulane,73,83,-10,0.605854,11.747582242248809
2006,Indiana,74,65,9,0.605802,15.932619611039762
2006,Wyoming,75,53,22,0.601052,18.245468807123277
2006,Ole Miss,76,99,-23,0.597702,8.509802468719796
2006,Mississippi State,77,102,-25,0.590341,7.263400204826306
2006,New Mexico,78,60,18,0.580041,17.01923384692427
2006,Northern Illinois,79,66,13,0.578445,15.787626294086461
2006,Baylor,80,89,-9,0.570264,9.987711369120817
2006,Syracuse,81,86,-5,0.558628,11.239165754340268
2006,Louisiana,82,72,10,0.551238,14.513594681856828
2006,UConn,83,95,-12,0.548337,9.06912941435451
2006,UAB,84,101,-17,0.528409,8.062394980182884
2006,Arkansas State,85,52,33,0.527606,18.32320598598084
2006,UTEP,86,73,13,0.51425,14.209531804712721
2006,Michigan State,87,87,0,0.511429,10.992595507664566
2006,Air Force,88,84,4,0.507772,11.674721432098915
2006,Fresno State,89,90,-1,0.507124,9.791638990466422
2006,Marshall,90,80,10,0.501824,11.856703428935575
2006,Akron,91,68,23,0.498149,15.043619080163543
2006,Colorado,92,108,-16,0.490767,5.665964986196373
2006,Iowa State,93,100,-7,0.487857,8.2206918000915
2006,North Carolina,94,109,-15,0.477672,5.645438932665972
2006,UCF,95,92,3,0.460644,9.45059356257888
2006,Northwestern,96,85,11,0.453384,11.310249640146264
2006,Kent State,97,49,48,0.450743,19.01964347091348
2006,Toledo,98,81,17,0.449956,11.810165608939274
2006,Ball State,99,69,30,0.418168,15.01399022048762
2006,FAU,100,79,21,0.402846,12.629297607736584
2006,Bowling Green,101,88,13,0.402226,10.289666264402154
2006,Idaho,102,91,11,0.379112,9.514489815230949
2006,North Texas,103,96,7,0.366754,8.989356521729116
2006,San Diego State,104,98,6,0.362838,8.97472259812525
2006,Buffalo,105,104,1,0.362307,6.418847560394411
2006,ULM,106,94,12,0.360841,9.117670407198036
2006,Colorado State,107,97,10,0.352587,8.98401788983282
2006,Army,108,106,2,0.352282,6.019900477985136
2006,Louisiana Tech,109,110,-1,0.344545,5.2881009230872085
2006,Utah State,110,111,-1,0.33327,3.685802647222865
2006,Illinois,111,112,-1,0.330553,3.6721097582675073
2006,Temple,112,113,-1,0.317281,3.3993771750512147
2006,Duke,113,119,-6,0.312376,0.0
2006,Memphis,114,117,-3,0.291792,3.2618334077823428
2006,Miami (OH),115,107,8,0.277232,5.793060285532373
2006,UNLV,116,115,1,0.268506,3.341807901036368
2006,New Mexico State,117,105,12,0.267821,6.344907617216439
2006,Eastern Michigan,118,116,2,0.232856,3.306155924030361
2006,FIU,119,118,1,0.211385,0.0
2007,USC,1,23,-22,2.646696,23.7661761873867
2007,LSU,2,4,-2,2.588137,28.723068604473738
2007,Oregon,3,11,-8,2.458419,25.69503868596355
2007,West Virginia,4,5,-1,2.227657,27.60670518850739
2007,Arizona State,5,10,-5,2.227051,26.309435205972477
2007,Oregon State,6,30,-24,2.185464,22.452760411608175
2007,Missouri,7,2,5,2.1419,30.290169234110948
2007,Tennessee,8,12,-4,2.083771,25.43099584162657
2007,Oklahoma,9,13,-4,2.073044,25.40220720974345
2007,UCLA,10,61,-51,2.007392,17.009271899165718
2007,BYU,11,9,2,1.985356,26.359647381862295
2007,Texas,12,28,-16,1.978979,22.747949764092688
2007,Georgia,13,19,-6,1.955631,24.49508717736979
2007,California,14,59,-45,1.83397,17.185946525437146
2007,Boston College,15,8,7,1.827136,26.65370660263433
2007,Kansas,16,1,15,1.809567,31.3334872779093
2007,Virginia Tech,17,15,2,1.754998,25.074840356790094
2007,Michigan,18,32,-14,1.711902,22.21690199211866
2007,Kentucky,19,34,-15,1.664303,21.93947613756234
2007,Auburn,20,43,-23,1.652072,20.032047063237915
2007,Florida,21,52,-31,1.620292,18.26927969432847
2007,Ohio State,22,29,-7,1.572904,22.70864264326755
2007,South Florida,23,26,-3,1.572309,22.91991024772657
2007,Cincinnati,24,16,8,1.555103,24.85083719659218
2007,Utah,25,20,5,1.495461,24.300817001196673
2007,Mississippi State,26,31,-5,1.491093,22.239022228920224
2007,Texas Tech,27,40,-13,1.441646,20.73344576315946
2007,Wake Forest,28,24,4,1.438974,23.556065729493714
2007,Alabama,29,56,-27,1.421969,17.384904574243908
2007,Penn State,30,27,3,1.376038,22.86081498113732
2007,Virginia,31,14,17,1.359859,25.074869546299436
2007,Clemson,32,39,-7,1.358832,20.754800355033982
2007,Arkansas,33,50,-17,1.358015,18.316678351476714
2007,Arizona,34,80,-46,1.346661,12.980140994567389
2007,Florida State,35,58,-23,1.337809,17.30064530251611
2007,Illinois,36,6,30,1.315077,26.96761374616406
2007,Stanford,37,74,-37,1.267697,13.846503499487774
2007,Wisconsin,38,46,-8,1.212044,19.147025849341624
2007,Colorado,39,55,-16,1.196718,17.95018267973578
2007,Texas A&M,40,62,-22,1.181784,16.629448062870253
