variant,k,beta,m_min,m_max,games,n,brier,log_loss,accuracy,base_rate,brier_skill,calibration_error,mean_abs_delta,mean_multiplier,paths
production_mov,35,12.0,0.25,5.0,17728,17728,0.18318194859131626,0.5413047202789066,0.7177910649819494,0.5858528880866426,0.24501301995413594,0.017753805190582273,30.35786564252543,2.425049360848511,"{""mov"": 17728}"
result_only,80,12.0,0.25,5.0,17728,17728,0.1873978142280462,0.5517887528006528,0.7099503610108303,0.5858528880866426,0.22763727037929626,0.017623687813738558,30.02322897111386,1.0,"{""result_only"": 17728}"
raw_srdiff,40,12.0,0.25,5.0,17728,17728,0.1846891352979101,0.545469229026923,0.7177910649819494,0.5858528880866426,0.23880112872398396,0.024618738573033625,24.88038795452995,2.0308854894237744,"{""mov"": 1513, ""raw_srdiff"": 16215}"
xsrdiff,40,12.0,0.25,5.0,17728,17728,0.18235343019838982,0.5397763759237616,0.7206678700361011,0.5858528880866426,0.24842777017487705,0.016067066611675597,25.7619884952858,1.6894598963205896,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_beta0.5,60,0.5,0.25,5.0,17728,17728,0.187659955081849,0.5528992717193751,0.7104580324909747,0.5858528880866426,0.22655685315979845,0.014510121950440746,25.929810632196002,1.143100151290221,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_beta1.0,60,1.0,0.25,5.0,17728,17728,0.1868261767083285,0.5508236859254001,0.7111913357400722,0.5858528880866426,0.2299932824646106,0.014644421333468693,26.39334661623755,1.1642608334354991,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_beta2.0,60,2.0,0.25,5.0,17728,17728,0.18550879158971992,0.5475020324816698,0.7142373646209387,0.5858528880866426,0.23542290377775998,0.014527157925496359,27.302521227194234,1.2052729516487224,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_beta4.0,60,4.0,0.25,5.0,17728,17728,0.18391038908173243,0.5433424009838485,0.7175654332129964,0.5858528880866426,0.2420107422175375,0.013654725243014544,29.107752587177334,1.2841945345313384,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_bounds0.75_1.25,60,12.0,0.75,1.25,17728,17728,0.18631651504382363,0.5495084254817683,0.7120938628158845,0.5858528880866426,0.23209386019013833,0.014373341196918061,27.18830394191989,1.1925250508242764,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_bounds0.5_1.5,60,12.0,0.5,1.5,17728,17728,0.18515271542008882,0.5464230033813451,0.7142937725631769,0.5858528880866426,0.2368904767239124,0.013624681552884333,28.823721073783144,1.2570845248826645,"{""mov"": 1513, ""xsrdiff"": 16215}"
xsrdiff_bounds0.25_2.0,50,12.0,0.25,2.0,17728,17728,0.18392398022709408,0.5435246532202749,0.7169449458483754,0.5858528880866426,0.24195472612058655,0.01588035335588705,27.148379738526785,1.4084308416778788,"{""mov"": 1513, ""xsrdiff"": 16215}"
