temperature,home_field,n,brier,log_loss,accuracy,calibration_error
4.5,1.25,5081,0.2235609266014255,0.6420525094729747,0.6254674276717181,0.02034091260924064
4.25,1.25,5081,0.22357317207994368,0.6421924611389667,0.6254674276717181,0.017180115022097674
4.25,1.125,5081,0.22358854539178977,0.6422634024092739,0.6246801810667192,0.022985466957419216
4.5,1.125,5081,0.22360945515424968,0.6421977615984329,0.6246801810667192,0.025942820032412574
4.75,1.25,5081,0.2236397406065732,0.6421729503109497,0.6254674276717181,0.02327815084684051
4.0,1.125,5081,0.2236790138307888,0.6426623309817118,0.6246801810667192,0.021274513493073365
4.5,1.5,5081,0.22368096546524607,0.6422276677725387,0.6231056878567212,0.013668081287791371
4.25,1.0,5081,0.22368413041633498,0.6425074426479863,0.6231056878567212,0.02962009573670504
4.75,1.5,5081,0.22368617966348775,0.6421838723578512,0.6231056878567212,0.01574764477915038
4.0,1.25,5081,0.22370328866759168,0.6426836431675838,0.6254674276717181,0.016068253375432422
4.75,1.125,5081,0.22371602094210954,0.642378292640001,0.6246801810667192,0.0289720811826065
4.5,1.0,5081,0.22373119401092711,0.642498899829571,0.6231056878567212,0.03197520690682667
4.0,1.0,5081,0.22374290936007452,0.6428342873334849,0.6231056878567212,0.027085893760029563
5.0,1.5,5081,0.22377262631593223,0.6423617038579903,0.6231056878567212,0.018325979963405913
4.25,1.5,5081,0.22377996502279135,0.6425674355267806,0.6231056878567212,0.015631122132076933
4.75,1.0,5081,0.2238593310124623,0.6427247195992976,0.6231056878567212,0.0345020276544597
4.25,0.875,5081,0.22386057956820624,0.642925120631718,0.6244833694154694,0.03482671282042612
4.0,0.875,5081,0.2238957808719714,0.6432001778724181,0.6244833694154694,0.032806244932419806
3.75,1.125,5081,0.22391416379477488,0.6435134152661188,0.6246801810667192,0.021932736545809888
4.5,0.875,5081,0.2239266752530532,0.6429563646010841,0.6244833694154694,0.037263966076573736
3.75,1.0,5081,0.22393966576478266,0.6435940934692176,0.6231056878567212,0.026676625492236067
3.75,1.25,5081,0.22398590928478843,0.6436498386144601,0.6254674276717181,0.0187592752657253
4.0,1.5,5081,0.22401254252590252,0.6433030605778017,0.6231056878567212,0.01925829356302045
5.0,1.0,5081,0.22404933999187934,0.6431227951790665,0.6231056878567212,0.03559503319600352
3.75,0.875,5081,0.22406341762628754,0.643892704643781,0.6244833694154694,0.03170389390800595
4.75,0.875,5081,0.2240701075951432,0.6432125945105556,0.6244833694154694,0.03934992226838367
4.25,0.75,5081,0.22411844554729415,0.6435169173081365,0.6207439480417241,0.04082735489792244
4.0,0.75,5081,0.22413831369718198,0.643760597089639,0.6207439480417241,0.038959900834859236
4.5,0.75,5081,0.22419634772885774,0.6435705489048814,0.6207439480417241,0.04329336506504262
3.75,0.75,5081,0.22428627564876302,0.6444099917391913,0.6207439480417241,0.03730600024006969
3.5,1.0,5081,0.22431635656162535,0.6449454467058661,0.6231056878567212,0.028249032311152573
3.5,1.125,5081,0.22433738619231466,0.6449808906343164,0.6246801810667192,0.025043973367189734
4.75,0.75,5081,0.22434871753772206,0.6438422414345829,0.6207439480417241,0.04436996169691206
3.5,0.875,5081,0.22440421725340223,0.6451565804535949,0.6244833694154694,0.03408171574589279
3.75,1.5,5081,0.2244164251852374,0.6445702299671093,0.6231056878567212,0.027021747478164312
5.0,2.0,5081,0.2244568607801348,0.6436346825094281,0.6207439480417241,0.015411778941796062
3.5,1.25,5081,0.22446604836258907,0.6452618611717439,0.6254674276717181,0.027064522562240276
5.0,0.75,5081,0.22455754308141287,0.6442734427589434,0.6207439480417241,0.04590202962226138
3.5,0.75,5081,0.22460204707467335,0.6456152316926629,0.6207439480417241,0.03821245774396725
6.0,1.5,5081,0.22462128816321766,0.6443550756842099,0.6231056878567212,0.028264189990471648
6.0,2.0,5081,0.22477673525688605,0.6444922536565136,0.6207439480417241,0.019895137852535005
4.25,0.5,5081,0.22488012952982664,0.6452244976877552,0.617594961621728,0.05293277441745666
4.0,0.5,5081,0.22489448880639984,0.6454670386958841,0.617594961621728,0.05131512059896357
3.25,1.0,5081,0.2249281439452,0.6471109000315695,0.6231056878567212,0.033002826577189205
4.5,0.5,5081,0.22495963757198945,0.645270408109924,0.617594961621728,0.05448208043140548
3.25,0.875,5081,0.2249718236599237,0.6472079204415494,0.6244833694154694,0.03435162095605988
3.25,1.125,5081,0.22500560328930963,0.6472950089696313,0.6246801810667192,0.03414441820267797
3.75,0.5,5081,0.22503198484219344,0.6461031161698327,0.617594961621728,0.05033582541888285
3.5,1.5,5081,0.22504037612946595,0.6465556328383447,0.6231056878567212,0.035615703187902276
4.75,0.5,5081,0.2251105491325255,0.6455279491829022,0.617594961621728,0.05510125676617268
3.25,0.75,5081,0.22513801421532484,0.647587275199529,0.6207439480417241,0.04081646130359676
6.0,1.0,5081,0.2251734045235386,0.6456653891948956,0.6231056878567212,0.047163993370863966
3.25,1.25,5081,0.22520260897476224,0.6477589005905376,0.6254674276717181,0.03630947485784132
5.0,0.5,5081,0.22531552081995973,0.6459403636778852,0.617594961621728,0.05635016659931921
3.5,0.5,5081,0.22533100731982947,0.6472782798376335,0.617594961621728,0.05100189917418039
4.0,2.0,5081,0.2256410085454228,0.6468241730343671,0.6207439480417241,0.034788820563393316
6.0,0.75,5081,0.2257195760553994,0.646867129796416,0.6207439480417241,0.055686531632584
3.25,0.5,5081,0.22584227209045174,0.6491970853545486,0.617594961621728,0.0524939115020669
3.0,1.0,5081,0.2258480943453124,0.6504081302787463,0.6231056878567212,0.04304356024335394
3.25,1.5,5081,0.22594782842141747,0.6495199530760338,0.6231056878567212,0.04517122025805521
3.0,0.75,5081,0.22596380430146423,0.6506276330718889,0.6207439480417241,0.04289492448589217
4.0,0.25,5081,0.22601442698718208,0.6479569149049331,0.615233221806731,0.0644719992006964
5.0,0.25,5081,0.22632447617476625,0.6481250491880435,0.615233221806731,0.06661081964631076
6.0,0.5,5081,0.22644736601845397,0.6484347342895206,0.617594961621728,0.060229081751641225
3.0,0.5,5081,0.22663329878206837,0.6521519618189308,0.617594961621728,0.05502885541665899
8.0,2.0,5081,0.22680950965363314,0.6493330109698213,0.6207439480417241,0.036687659533335866
6.0,3.0,5081,0.22711523557827717,0.6490420765343573,0.6120842353867348,0.03455663841972719
8.0,1.5,5081,0.2271415187408027,0.6501496624634092,0.6231056878567212,0.04643157825237279
3.0,1.5,5081,0.22722185965510094,0.6538334943990856,0.6231056878567212,0.05584616068028086
6.0,0.25,5081,0.22735728521453463,0.6503689661536356,0.615233221806731,0.06941552184632899
8.0,3.0,5081,0.22738236574500584,0.6501853489717477,0.6120842353867348,0.03830778280803774
4.0,0.0,5081,0.22749907516583232,0.6512323457373815,0.6140523518992325,0.07713452358530584
5.0,0.0,5081,0.2275846273758003,0.650828452667822,0.6140523518992325,0.07699110541272115
3.0,0.25,5081,0.22786485122197364,0.654989883221246,0.615233221806731,0.06728015253854344
8.0,1.0,5081,0.22789628706432627,0.6518025284549727,0.6231056878567212,0.0574978032998955
8.0,0.75,5081,0.22843367616761795,0.6529438282014091,0.6207439480417241,0.06545178837683605
6.0,0.0,5081,0.22844931963055282,0.6526703119936773,0.6140523518992325,0.07760311110469309
5.0,3.0,5081,0.22852577118641995,0.6521536391728794,0.6120842353867348,0.0497556317355363
2.5,0.75,5081,0.2288908036501548,0.6618884595098422,0.6207439480417241,0.06376124103971433
10.0,3.0,5081,0.22889436340387379,0.6538120596177472,0.6120842353867348,0.039493699473030906
2.5,1.0,5081,0.22903646148883228,0.6624754079005821,0.6231056878567212,0.06715789902335796
8.0,0.5,5081,0.22907815685969873,0.6542955396089372,0.617594961621728,0.07291884054302876
10.0,2.0,5081,0.22908110731042838,0.6544263940208368,0.6207439480417241,0.052654638686640366
2.5,0.5,5081,0.2294492159334094,0.6630864544826992,0.617594961621728,0.06643662460425513
10.0,1.5,5081,0.22958524254693805,0.6555422142559424,0.6231056878567212,0.061091523279170085
3.0,0.0,5081,0.22966186514814158,0.6591470549820097,0.6140523518992325,0.08121179344435825
8.0,0.25,5081,0.22982981515365872,0.6558579208653486,0.615233221806731,0.08128576711085658
10.0,1.0,5081,0.23036736923241957,0.6572004124488389,0.6231056878567212,0.06602866493098179
3.0,2.0,5081,0.23060049425583393,0.6622994026324822,0.6207439480417241,0.07403379276463345
8.0,0.0,5081,0.23068855143865238,0.6576311358339677,0.6140523518992325,0.08649159345227737
2.5,0.25,5081,0.2307263658141748,0.6660851397287079,0.615233221806731,0.07412954496800675
10.0,0.75,5081,0.23086321573848498,0.6582334507803959,0.6207439480417241,0.06785631998935934
2.5,1.5,5081,0.23134393063451328,0.6689145825186058,0.6231056878567212,0.08135954219310519
10.0,0.5,5081,0.23142904510617898,0.6594026611609966,0.617594961621728,0.07336797643261074
10.0,0.25,5081,0.2320648527737214,0.6607081530156463,0.615233221806731,0.0797528765647672
14.0,3.0,5081,0.23209645176077612,0.6608714144274258,0.6120842353867348,0.05216758837903906
4.0,3.0,5081,0.2325926525152233,0.6627429113806236,0.6120842353867348,0.08111364077602773
2.5,0.0,5081,0.23272886747102461,0.6708947125989749,0.6140523518992325,0.0901636480917406
10.0,0.0,5081,0.232770553715198,0.6621499956118954,0.6140523518992325,0.08700290276015271
14.0,2.0,5081,0.23279855482571327,0.6624066728939191,0.6207439480417241,0.07158922082391309
14.0,1.5,5081,0.23336529389771982,0.6635931925827839,0.6231056878567212,0.07836141991724795
14.0,1.0,5081,0.23407672719154718,0.6650598600654031,0.6231056878567212,0.08182129303316206
14.0,0.75,5081,0.23448679374426779,0.6658983970226608,0.6207439480417241,0.08081141095006249
2.0,0.75,5081,0.23460670993221994,0.6864311614558687,0.6207439480417241,0.09440027560870688
14.0,0.5,5081,0.23493309750565192,0.6668071267122213,0.617594961621728,0.07870731296356069
2.0,0.5,5081,0.23497124741879005,0.6869110656352446,0.617594961621728,0.09305863308219627
2.0,1.0,5081,0.23515224624972167,0.6885302916691808,0.6231056878567212,0.09851221866735962
14.0,0.25,5081,0.23541561391548432,0.6677860785464547,0.615233221806731,0.08048266764314803
20.0,3.0,5081,0.2356380206049401,0.6683098578515174,0.6120842353867348,0.06980734320210208
14.0,0.0,5081,0.23593429636663524,0.6688352710916752,0.6140523518992325,0.08549881827184327
2.5,2.0,5081,0.23611434686226623,0.6821755731102087,0.6207439480417241,0.1010964572007826
2.0,0.25,5081,0.23627367635918542,0.6900010806615463,0.615233221806731,0.09892242421250778
20.0,2.0,5081,0.2364422887738427,0.6699755435503898,0.6207439480417241,0.0861323193612859
20.0,1.5,5081,0.23695117988896258,0.6710153782116463,0.6231056878567212,0.09160920743659069
20.0,1.0,5081,0.237531373164419,0.672193425400747,0.6231056878567212,0.09405029515982148
20.0,0.75,5081,0.2378482084086721,0.6728343149201605,0.6207439480417241,0.09264143587767881
20.0,0.5,5081,0.23818285870535927,0.673509795739398,0.617594961621728,0.09022854582102084
2.0,0.0,5081,0.23852763581239275,0.6957214154872631,0.6140523518992325,0.10498095920138806
20.0,0.25,5081,0.23853530925350377,0.6742198750496334,0.615233221806731,0.08835938829484362
2.0,1.5,5081,0.23879883707081767,0.7002902341313226,0.6231056878567212,0.11423440701298287
20.0,0.0,5081,0.23890553982125415,0.6749645573822373,0.6140523518992325,0.08738628219197023
3.0,3.0,5081,0.2424820538409005,0.6936333471729296,0.6120842353867348,0.12214696795776378
1.5,0.75,5081,0.2454412200813766,0.7426744810635509,0.6207439480417241,0.13623561338366594
2.0,2.0,5081,0.24545845020240212,0.7217480597362379,0.6207439480417241,0.13552403584349204
1.5,0.5,5081,0.24547844220034387,0.7415315859262777,0.617594961621728,0.13282480251008502
1.5,1.0,5081,0.2465913675436111,0.7478510017997616,0.6231056878567212,0.14208510367381938
1.5,0.25,5081,0.24676155579848036,0.744492689123217,0.615233221806731,0.1335166292690299
1.5,0.0,5081,0.2493220777572242,0.7516038198389857,0.6140523518992325,0.14024835036062352
2.5,3.0,5081,0.2516194593796745,0.7279062851422591,0.6120842353867348,0.15006795333301187
1.5,1.5,5081,0.2521083878185278,0.7699127044948963,0.6231056878567212,0.1575221509444995
1.5,2.0,5081,0.2611843358973683,0.8067445080183573,0.6207439480417241,0.17994038551379182
2.0,3.0,5081,0.2654675267272603,0.7913821947978427,0.6120842353867348,0.18561913604109243
1.0,0.5,5081,0.2655269048676622,0.8861167276696671,0.617594961621728,0.19068968952383894
1.0,0.75,5081,0.2660287137931816,0.8913904013403139,0.6207439480417241,0.19336356858886608
1.0,0.25,5081,0.2666789374952002,0.8882276964965741,0.615233221806731,0.18671140159212488
1.0,1.0,5081,0.2680377200688053,0.9038480642297009,0.6231056878567212,0.197871129397605
1.0,0.0,5081,0.26957631709064067,0.897856205628845,0.6140523518992325,0.19108360241984415
1.0,1.5,5081,0.27582094934266055,0.949229207358312,0.6231056878567212,0.21536886885886883
1.5,3.0,5081,0.28609690777850666,0.9197316230395415,0.6120842353867348,0.23006409528306507
1.0,2.0,5081,0.28725403177760683,1.0196737112044183,0.6207439480417241,0.2371998627131983
0.5,0.5,5081,0.3046779150544518,1.4367269523153288,0.617594961621728,0.2693789321983765
0.5,0.25,5081,0.30531672255418185,1.4345860020003063,0.615233221806731,0.26664516739245814
0.5,0.75,5081,0.3059416033208051,1.456721952480927,0.6207439480417241,0.2728654248914322
0.5,0.0,5081,0.30830014151268403,1.4509686405826467,0.6140523518992325,0.26588335829383164
0.5,1.0,5081,0.30860937589145926,1.4936231753570541,0.6231056878567212,0.2777501323118135
1.0,3.0,5081,0.31516685940150246,1.2236303345035184,0.6120842353867348,0.282382928195079
0.5,1.5,5081,0.31668009633808736,1.6135307484256485,0.6231056878567212,0.2909600797706381
0.5,2.0,5081,0.3269890445981656,1.7869649937921734,0.6207439480417241,0.30693284041544655
0.5,3.0,5081,0.3499977611996675,2.2583279205020896,0.6120842353867348,0.33725399697291475
