end_year,window_start,window_end,team_name,coeff_5yr
2018,2014,2018,Alabama,26.577655
2018,2014,2018,Clemson,24.087177
2018,2014,2018,Ohio State,17.890418
2018,2014,2018,Stanford,11.647343
2018,2014,2018,Georgia,11.468813
2018,2014,2018,Oklahoma,11.297398
2018,2014,2018,Notre Dame,10.194254
2018,2014,2018,Wisconsin,10.006851
2018,2014,2018,Northwestern,9.936773
2018,2014,2018,Auburn,9.759506
2018,2014,2018,TCU,9.18004
2018,2014,2018,Oregon,9.169953
2018,2014,2018,LSU,8.798314
2018,2014,2018,Oklahoma State,8.431813
2018,2014,2018,USC,8.362818
2018,2014,2018,Florida State,8.094654
2018,2014,2018,Utah,7.996137
2018,2014,2018,Michigan State,7.965022
2018,2014,2018,Iowa,7.85237
2018,2014,2018,Washington State,7.766787
2018,2014,2018,Florida,7.662127
2018,2014,2018,Washington,7.564439
2018,2014,2018,Virginia Tech,7.47044
2018,2014,2018,Miami (FL),7.457503
2018,2014,2018,Ole Miss,7.36038
2018,2014,2018,Penn State,7.229875
2018,2014,2018,Pittsburgh,7.047948
2018,2014,2018,Michigan,6.953907
2018,2014,2018,Georgia Tech,6.8011
2018,2014,2018,Texas,6.747718
2018,2014,2018,West Virginia,6.035521
2018,2014,2018,Texas A&M,5.954389
2018,2014,2018,Tennessee,5.856809
2018,2014,2018,Arizona State,5.748212
2018,2014,2018,Mississippi State,5.612282
2018,2014,2018,Duke,5.371741
2018,2014,2018,UCLA,5.3258
2018,2014,2018,NC State,5.193376
2018,2014,2018,Boise State,4.912388
2018,2014,2018,Louisville,4.903863
2018,2014,2018,Arizona,4.718508
2018,2014,2018,South Carolina,4.688543
2018,2014,2018,North Carolina,4.687984
2018,2014,2018,Nebraska,4.626578
2018,2014,2018,Arkansas,4.563367
2018,2014,2018,Iowa State,4.485068
2018,2014,2018,Kentucky,4.484852
2018,2014,2018,California,4.47215
2018,2014,2018,Missouri,4.40505
2018,2014,2018,Kansas State,4.39465
2018,2014,2018,UCF,4.362531
2018,2014,2018,Baylor,4.3504
2018,2014,2018,Houston,4.236639
2018,2014,2018,Minnesota,4.069145
2018,2014,2018,Syracuse,4.021333
2018,2014,2018,Boston College,3.852329
2018,2014,2018,Purdue,3.813233
2018,2014,2018,Wake Forest,3.732851
2018,2014,2018,Virginia,3.390865
2018,2014,2018,Texas Tech,3.347384
2018,2014,2018,Memphis,3.315259
2018,2014,2018,San Diego State,3.122668
2018,2014,2018,BYU,3.029216
2018,2014,2018,Navy,2.685226
2018,2014,2018,Temple,2.594172
2018,2014,2018,Army,2.586065
2018,2014,2018,Maryland,2.580864
2018,2014,2018,South Florida,2.520592
2018,2014,2018,Vanderbilt,2.368739
2018,2014,2018,Fresno State,2.28235
2018,2014,2018,Toledo,2.244974
2018,2014,2018,Cincinnati,2.222054
2018,2014,2018,Northern Illinois,2.118301
2018,2014,2018,Western Michigan,2.106939
2018,2014,2018,Colorado,2.096255
2018,2014,2018,Air Force,2.004132
2018,2014,2018,Troy,1.809591
2018,2014,2018,Louisiana Tech,1.773907
2018,2014,2018,Illinois,1.690854
2018,2014,2018,Indiana,1.683929
2018,2014,2018,Western Kentucky,1.663897
2018,2014,2018,Rutgers,1.653434
2018,2014,2018,Ohio,1.652429
2018,2014,2018,East Carolina,1.519373
2018,2014,2018,Marshall,1.472983
2018,2014,2018,Utah State,1.424743
2018,2014,2018,Akron,1.382485
2018,2014,2018,Eastern Michigan,1.306279
2018,2014,2018,Middle Tennessee,1.302802
2018,2014,2018,Colorado State,1.291933
2018,2014,2018,Wyoming,1.226687
2018,2014,2018,New Mexico,1.201896
2018,2014,2018,Central Michigan,1.122671
2018,2014,2018,Buffalo,1.069749
2018,2014,2018,Georgia Southern,1.059427
2018,2014,2018,Miami (OH),1.058914
2018,2014,2018,Nevada,1.050887
2018,2014,2018,Tulsa,0.995995
2018,2014,2018,Bowling Green,0.927849
2018,2014,2018,Southern Miss,0.923624
2018,2014,2018,Old Dominion,0.914375
2018,2014,2018,Oregon State,0.902866
2018,2014,2018,Tulane,0.895945
2018,2014,2018,SMU,0.891864
2018,2014,2018,North Texas,0.867504
2018,2014,2018,UAB,0.859526
2018,2014,2018,UNLV,0.824882
2018,2014,2018,South Alabama,0.811137
2018,2014,2018,Arkansas State,0.749313
2018,2014,2018,Hawai'i,0.730196
2018,2014,2018,UConn,0.715944
2018,2014,2018,Kansas,0.629425
2018,2014,2018,Louisiana,0.563852
2018,2014,2018,UTSA,0.561443
2018,2014,2018,New Mexico State,0.410872
2018,2014,2018,San Jose State,0.407021
2018,2014,2018,Ball State,0.359192
2018,2014,2018,Georgia State,0.347092
2018,2014,2018,Charlotte,0.333693
2018,2014,2018,UTEP,0.313929
2018,2014,2018,Kent State,0.297831
2018,2014,2018,Rice,0.28506
2018,2014,2018,Liberty,0.21736
2018,2014,2018,Texas State,0.155524
2018,2014,2018,Coastal Carolina,0.153316
2019,2015,2019,Clemson,24.793683
2019,2015,2019,Alabama,24.323558
2019,2015,2019,LSU,15.291645
2019,2015,2019,Ohio State,13.996052
2019,2015,2019,Oklahoma,12.836199
2019,2015,2019,Georgia,12.361436
2019,2015,2019,Notre Dame,11.060412
2019,2015,2019,Stanford,10.876062
2019,2015,2019,Oregon,10.211717
2019,2015,2019,Auburn,9.87226
2019,2015,2019,Wisconsin,9.803981
2019,2015,2019,Utah,9.477257
2019,2015,2019,Washington,9.288403
2019,2015,2019,Iowa,9.237316
2019,2015,2019,USC,9.143979
2019,2015,2019,Oklahoma State,8.742628
2019,2015,2019,Texas,8.658188
2019,2015,2019,Northwestern,8.473709
2019,2015,2019,Florida,8.434703
2019,2015,2019,TCU,7.92493
2019,2015,2019,Penn State,7.90537
2019,2015,2019,Washington State,7.741595
