team,season_year,as_of,raw_hfa,adjusted_hfa,prior_hfa,fbs_baseline,fcs_prior_used,effective_n,lambda,games_used,weighted_actual_wins,weighted_expected_wins,oldest_game_used,newest_game_used,elo_hfa_points,elo_points_at_bound,raw_elo_hfa_points,raw_points_at_bound
Washington,1981,1981-09-05,1.108602,1.141757,1.147987,1.147987,False,5.63689,0.158176,6,3.757936,3.389796,1980-09-13,1980-11-08,66.208231,False,50.050982,False
Washington State,1981,1981-09-05,0.872252,1.110605,1.147987,1.147987,False,4.70492,0.135569,5,1.88146,2.157014,1980-09-13,1980-11-22,39.174225,False,-46.179758,False
Oregon,1981,1981-09-05,1.550309,1.192733,1.147987,1.147987,False,3.75419,0.111221,4,2.820935,1.819596,1980-09-06,1980-11-01,68.982409,False,212.993771,False
Oregon State,1981,1981-09-05,0.0,1.048958,1.147987,1.147987,False,2.8322,0.086263,3,0.0,0.604181,1980-10-11,1980-11-22,11.160731,False,-400.0,True
California,1981,1981-09-05,1.470877,1.199174,1.147987,1.147987,False,5.651877,0.15853,6,2.827188,1.922111,1980-09-27,1980-11-22,58.053819,False,132.70293,False
Stanford,1981,1981-09-05,0.994305,1.127166,1.147987,1.147987,False,4.701148,0.135475,5,2.815947,2.832076,1980-09-13,1980-11-08,63.766693,False,-2.75386,False
USC,1981,1981-09-05,1.228944,1.160823,1.147987,1.147987,False,5.653157,0.15856,6,4.237061,3.447724,1980-09-20,1980-12-06,84.745404,False,125.214281,False
UCLA,1981,1981-09-05,1.272791,1.167769,1.147987,1.147987,False,5.650851,0.158505,6,4.706372,3.69768,1980-09-13,1980-11-30,103.181155,False,183.320271,False
San Jose State,1981,1981-09-05,0.806655,1.127793,1.147987,1.147987,False,1.886465,0.059162,2,0.939474,1.164653,1980-10-11,1980-11-22,62.273703,False,-86.421423,False
Fresno State,1981,1981-09-05,1.1701,1.149289,1.147987,1.147987,False,1.87771,0.058904,2,0.935737,0.799707,1980-09-20,1980-10-25,46.601458,False,53.045988,False
San Diego State,1981,1981-09-05,1.292224,1.167568,1.147987,1.147987,False,4.71242,0.135756,5,1.895242,1.466651,1980-09-27,1980-11-29,42.39294,False,72.251838,False
Hawai'i,1981,1981-09-05,1.162667,1.14998,1.147987,1.147987,False,4.712403,0.135756,5,2.832203,2.435954,1980-10-04,1980-11-29,72.026407,False,78.273633,False
UNLV,1981,1981-09-05,1.072984,1.137802,1.147987,1.147987,False,4.713682,0.135787,5,2.819697,2.627901,1980-09-13,1980-11-29,67.353628,False,35.045233,False
Arizona,1981,1981-09-05,0.474618,1.041277,1.147987,1.147987,False,5.649382,0.158471,6,0.943225,1.987337,1980-09-20,1980-11-29,12.604618,False,-191.868401,False
Arizona State,1981,1981-09-05,1.695569,1.23473,1.147987,1.147987,False,5.646911,0.158412,6,4.701177,2.772624,1980-09-13,1980-11-22,87.390501,False,304.5235,False
BYU,1981,1981-09-05,1.478684,1.192839,1.147987,1.147987,False,4.707407,0.135631,5,4.707407,3.183512,1980-09-13,1980-11-15,131.917593,False,400.0,True
Utah,1981,1981-09-05,1.538212,1.191491,1.147987,1.147987,False,3.764189,0.111485,4,2.817197,1.831476,1980-09-20,1980-11-22,77.535429,False,230.323746,False
