team,season_year,as_of,raw_hfa,adjusted_hfa,prior_hfa,fbs_baseline,fcs_prior_used,effective_n,lambda,games_used,weighted_actual_wins,weighted_expected_wins,oldest_game_used,newest_game_used,elo_hfa_points,elo_points_at_bound,raw_elo_hfa_points,raw_points_at_bound
Georgia Southern,2026,2026-09-21,1.320287,1.236343,1.12782,1.12782,False,38.783874,0.563851,58,24.99168,18.92898,2014-09-25,2025-11-22,98.942238,False,135.456741,False
Hawai'i,2026,2026-09-21,1.241933,1.211518,1.12782,1.12782,False,82.554801,0.733463,292,45.616909,36.730565,1980-10-04,2026-09-13,82.841618,False,94.747917,False
Kennesaw State,2026,2026-09-21,1.460036,1.21127,1.12782,1.12782,False,10.063638,0.251191,11,6.444303,4.413796,2024-09-07,2026-09-12,77.326956,False,172.1019,False
Jacksonville State,2026,2026-09-21,1.364362,1.209785,1.12782,1.12782,False,15.907433,0.346511,18,13.278647,9.732494,2023-08-26,2026-09-19,109.54802,False,213.783499,False
SMU,2026,2026-09-21,1.239075,1.205851,1.12782,1.12782,False,70.459869,0.701373,232,41.517232,33.506629,1980-09-13,2025-11-22,89.850572,False,104.700905,False
Wyoming,2026,2026-09-21,1.235078,1.202141,1.12782,1.12782,False,67.695224,0.692923,234,37.313818,30.21172,1980-09-13,2025-11-22,77.096286,False,89.716196,False
South Carolina,2026,2026-09-21,1.226509,1.199979,1.12782,1.12782,False,81.597519,0.731177,272,48.068408,39.191249,1980-10-04,2026-09-19,85.993713,False,97.608483,False
Navy,2026,2026-09-21,1.233494,1.199729,1.12782,1.12782,False,63.89142,0.680482,204,38.888301,31.526951,1980-09-20,2025-11-15,86.379621,False,101.457388,False
Arizona State,2026,2026-09-21,1.226977,1.199191,1.12782,1.12782,False,77.057938,0.719778,275,49.028205,39.958551,1980-09-13,2025-11-29,91.423824,False,104.700802,False
Kansas State,2026,2026-09-21,1.221537,1.195545,1.12782,1.12782,False,78.16819,0.722654,253,53.836803,44.073005,1980-09-27,2026-09-19,102.321034,False,116.866539,False
Washington,2026,2026-09-21,1.218156,1.193815,1.12782,1.12782,False,81.339143,0.730553,278,58.751589,48.229943,1980-09-13,2026-09-12,115.940333,False,131.891748,False
Arkansas State,2026,2026-09-21,1.226159,1.193185,1.12782,1.12782,False,59.468265,0.664686,153,35.570008,29.009287,1980-09-20,2025-11-21,83.36943,False,97.979333,False
Missouri,2026,2026-09-21,1.216475,1.192159,1.12782,1.12782,False,79.380489,0.725728,268,52.433048,43.102461,1980-09-13,2026-09-19,97.79116,False,110.888739,False
LSU,2026,2026-09-21,1.209424,1.188099,1.12782,1.12782,False,84.799634,0.738675,293,67.442446,55.764112,1980-09-06,2026-09-12,138.611842,False,156.936417,False
West Virginia,2026,2026-09-21,1.210065,1.186383,1.12782,1.12782,False,74.186681,0.712055,261,47.409274,39.179114,1980-09-06,2026-09-05,87.155982,False,98.641431,False
Iowa,2026,2026-09-21,1.204594,1.184319,1.12782,1.12782,False,83.598518,0.735912,275,60.095497,49.888582,1980-09-27,2026-09-12,104.82436,False,117.437905,False
Oregon,2026,2026-09-21,1.204079,1.182837,1.12782,1.12782,False,77.697442,0.721442,255,65.349673,54.273556,1980-09-06,2026-09-05,150.137159,False,171.932079,False
NC State,2026,2026-09-21,1.203999,1.182709,1.12782,1.12782,False,77.342463,0.720521,255,50.441478,41.894946,1980-09-27,2025-11-30,88.832483,False,99.674426,False
Ole Miss,2026,2026-09-21,1.195348,1.17737,1.12782,1.12782,False,82.68292,0.733766,269,55.176572,46.159426,1980-09-06,2026-09-19,96.892114,False,107.24365,False
BYU,2026,2026-09-21,1.194668,1.175139,1.12782,1.12782,False,72.687292,0.707851,260,54.215723,45.381396,1980-09-13,2026-09-12,107.391655,False,120.643876,False
California,2026,2026-09-21,1.193545,1.17443,1.12782,1.12782,False,73.153471,0.709171,253,38.112088,31.931853,1980-09-27,2026-09-06,64.914492,False,72.00673,False
Michigan,2026,2026-09-21,1.188667,1.173807,1.12782,1.12782,False,92.837289,0.755774,305,76.267271,64.162008,1980-09-13,2026-09-19,138.755225,False,152.914297,False
Iowa State,2026,2026-09-21,1.191589,1.173603,1.12782,1.12782,False,76.362401,0.717945,256,39.587497,33.222449,1980-09-13,2026-09-19,66.552154,False,73.437024,False
USC,2026,2026-09-21,1.188915,1.173201,1.12782,1.12782,False,86.638419,0.742795,282,66.400841,55.849947,1980-09-20,2026-09-13,111.215838,False,122.609526,False
Toledo,2026,2026-09-21,1.188403,1.170056,1.12782,1.12782,False,69.061848,0.697159,234,51.878777,43.654183,1980-09-27,2026-09-19,104.285734,False,116.837882,False
Florida,2026,2026-09-21,1.186419,1.170054,1.12782,1.12782,False,77.422327,0.720728,276,58.68577,49.464639,1980-09-13,2026-09-05,112.422986,False,124.43769,False
Delaware,2026,2026-09-21,1.390616,1.16973,1.12782,1.12782,False,5.692061,0.159477,6,4.756856,3.420683,2025-09-13,2026-09-19,82.384594,False,220.041236,False
Stanford,2026,2026-09-21,1.185767,1.169673,1.12782,1.12782,False,78.017357,0.722267,267,41.700163,35.167248,1980-09-13,2026-09-05,71.807081,False,78.605477,False
Utah State,2026,2026-09-21,1.187543,1.168291,1.12782,1.12782,False,63.063303,0.677639,190,34.804918,29.308344,1980-10-04,2025-11-28,70.530992,False,78.640501,False
Texas,2026,2026-09-21,1.181993,1.168067,1.12782,1.12782,False,86.700426,0.742932,286,66.592888,56.339503,1980-09-01,2026-09-20,113.992944,False,124.543324,False
Memphis,2026,2026-09-21,1.180478,1.1655,1.12782,1.12782,False,75.470092,0.715559,246,47.831646,40.518872,1980-09-06,2026-09-05,78.257422,False,85.615401,False
Miami (FL),2026,2026-09-21,1.176871,1.163031,1.12782,1.12782,False,76.324685,0.717845,259,55.178039,46.885371,1980-09-27,2025-11-15,95.767853,False,104.555287,False
Minnesota,2026,2026-09-21,1.171127,1.159597,1.12782,1.12782,False,82.682278,0.733765,272,49.54276,42.303493,1980-09-13,2026-09-19,72.230875,False,77.56275,False
Oklahoma State,2026,2026-09-21,1.171896,1.159485,1.12782,1.12782,False,76.544749,0.718428,250,48.592352,41.464745,1980-10-04,2026-09-12,81.79695,False,88.420568,False
UTSA,2026,2026-09-21,1.179313,1.15933,1.12782,1.12782,False,47.304896,0.611926,75,30.694455,26.027409,2012-10-20,2025-11-29,81.043566,False,91.645962,False
Ohio,2026,2026-09-21,1.171578,1.157678,1.12782,1.12782,False,64.442445,0.682346,212,43.739501,37.333828,1980-09-20,2026-09-12,84.363677,False,92.249695,False
Appalachian State,2026,2026-09-21,1.172112,1.153439,1.12782,1.12782,False,41.160159,0.578416,63,31.859525,27.181306,1981-11-07,2026-09-19,102.304094,False,116.410281,False
San Jose State,2026,2026-09-21,1.165366,1.153213,1.12782,1.12782,False,62.682218,0.676313,180,31.610397,27.124875,1980-10-11,2026-09-20,58.357057,False,62.958568,False
North Dakota State,2026,2026-09-21,1.906913,1.152846,1.12782,1.12782,False,0.995645,0.032122,1,0.995645,0.522124,2026-08-29,2026-08-29,56.770886,False,400.0,True
Texas Tech,2026,2026-09-21,1.1627,1.152524,1.12782,1.12782,False,72.83119,0.70826,250,45.751735,39.349563,1980-09-06,2026-09-19,74.321306,False,79.410264,False
Arizona,2026,2026-09-21,1.162057,1.152378,1.12782,1.12782,False,76.116139,0.717291,269,40.399787,34.765744,1980-09-20,2026-09-20,61.736712,False,65.653225,False
Indiana,2026,2026-09-21,1.159657,1.15079,1.12782,1.12782,False,77.71085,0.721477,264,40.911167,35.278686,1980-09-13,2026-09-19,65.527698,False,69.357539,False
UAB,2026,2026-09-21,1.163237,1.150668,1.12782,1.12782,False,54.538843,0.645134,130,31.624087,27.186291,1996-09-14,2026-09-12,67.092257,False,72.773815,False
Texas A&M,2026,2026-09-21,1.158058,1.150027,1.12782,1.12782,False,82.961485,0.734423,272,58.670058,50.662461,1980-09-20,2026-09-19,91.681249,False,96.930007,False
Temple,2026,2026-09-21,1.153426,1.145759,1.12782,1.12782,False,70.196173,0.700587,218,30.557315,26.492664,1980-09-13,2026-09-12,52.113909,False,54.801832,False
North Texas,2026,2026-09-21,1.153356,1.145115,1.12782,1.12782,False,62.956569,0.677269,154,33.417441,28.974083,1980-10-04,2026-09-12,55.793061,False,58.962611,False
Oklahoma,2026,2026-09-21,1.150127,1.144192,1.12782,1.12782,False,82.769014,0.733969,280,69.667734,60.573964,1980-09-13,2026-09-19,135.152695,False,141.911812,False
Marshall,2026,2026-09-21,1.151689,1.144012,1.12782,1.12782,False,63.270097,0.678354,149,43.532305,37.798651,1980-09-13,2026-09-12,78.370746,False,82.786642,False
Clemson,2026,2026-09-21,1.148396,1.142753,1.12782,1.12782,False,79.375228,0.725715,259,63.536504,55.326281,1980-09-13,2026-09-19,111.692374,False,116.742802,False
Notre Dame,2026,2026-09-21,1.146082,1.141439,1.12782,1.12782,False,87.990566,0.745742,295,69.336272,60.4985,1980-09-06,2026-09-19,106.86294,False,110.810984,False
Penn State,2026,2026-09-21,1.145866,1.141342,1.12782,1.12782,False,89.668146,0.749307,298,68.988051,60.206028,1980-09-27,2026-09-19,103.652508,False,107.33098,False
Boise State,2026,2026-09-21,1.14704,1.141281,1.12782,1.12782,False,70.118696,0.700356,164,59.284439,51.684721,1996-08-31,2026-09-12,126.825144,False,133.097541,False
Miami (OH),2026,2026-09-21,1.147662,1.141238,1.12782,1.12782,False,62.660913,0.676239,218,37.022276,32.258857,1980-09-13,2025-11-29,64.877312,False,67.881797,False
Colorado,2026,2026-09-21,1.146269,1.140968,1.12782,1.12782,False,74.412263,0.712677,265,37.11197,32.376312,1980-09-27,2025-11-23,55.744032,False,57.823873,False
Utah,2026,2026-09-21,1.145143,1.140102,1.12782,1.12782,False,73.088388,0.708988,243,53.005004,46.286815,1980-09-20,2026-09-19,85.422289,False,88.731891,False
Ohio State,2026,2026-09-21,1.142464,1.138864,1.12782,1.12782,False,92.041564,0.754182,309,83.430198,73.026543,1980-09-13,2026-09-19,177.708158,False,184.134792,False
Syracuse,2026,2026-09-21,1.14266,1.138456,1.12782,1.12782,False,75.890865,0.716689,264,37.732374,33.021525,1980-09-20,2026-09-12,53.184715,False,54.78858,False
Oregon State,2026,2026-09-21,1.14223,1.138041,1.12782,1.12782,False,73.195047,0.709288,239,35.730923,31.281734,1980-10-11,2026-09-12,54.253939,False,55.885992,False
San Diego State,2026,2026-09-21,1.141889,1.137807,1.12782,1.12782,False,73.406869,0.709884,242,44.221936,38.727009,1980-09-27,2026-09-20,64.696197,False,66.655315,False
Louisiana Tech,2026,2026-09-21,1.142036,1.137222,1.12782,1.12782,False,58.596496,0.661386,162,35.653768,31.219479,1981-09-19,2025-11-22,64.021377,False,66.317031,False
Northwestern,2026,2026-09-21,1.141093,1.13714,1.12782,1.12782,False,70.726575,0.702164,253,36.912207,32.348118,1980-10-04,2026-09-19,57.197245,False,58.849842,False
Kentucky,2026,2026-09-21,1.138641,1.135784,1.12782,1.12782,False,83.630504,0.735986,281,43.121641,37.871143,1980-09-06,2026-09-12,55.553418,False,56.719828,False
UCLA,2026,2026-09-21,1.138332,1.135532,1.12782,1.12782,False,82.636559,0.733657,271,49.471898,43.459984,1980-09-13,2026-09-20,62.132785,False,63.441454,False
UCF,2026,2026-09-21,1.136768,1.134012,1.12782,1.12782,False,67.391931,0.691966,152,45.491563,40.018337,1996-10-19,2026-09-19,74.137764,False,75.735966,False
Virginia,2026,2026-09-21,1.135014,1.132992,1.12782,1.12782,False,76.725165,0.718904,254,42.886258,37.784781,1980-09-13,2026-08-29,55.973499,False,56.830346,False
Georgia,2026,2026-09-21,1.134936,1.132911,1.12782,1.12782,False,75.422841,0.715432,273,63.638817,56.072611,1980-09-13,2026-09-12,127.508774,False,129.828899,False
