season_year,team_name,rating
2000,Oklahoma,3.276039
2000,Washington,3.03167
2000,Miami (FL),2.537257
2000,Oregon State,2.512152
2000,Florida,2.435296
2000,Wisconsin,2.357333
2000,Oregon,2.348657
2000,Michigan,2.302885
2000,Nebraska,2.183279
2000,Purdue,2.170043
2000,Kansas State,2.158616
2000,Florida State,2.114105
2000,Notre Dame,1.938925
2000,Virginia Tech,1.898634
2000,Northwestern,1.896328
2000,Ohio State,1.837713
2000,Mississippi State,1.832758
2000,South Carolina,1.799031
2000,Auburn,1.679499
2000,UCLA,1.64595
2000,LSU,1.637086
2000,Iowa State,1.447883
2000,Michigan State,1.383131
2000,Tennessee,1.371897
2000,Texas A&M,1.36584
2000,West Virginia,1.356097
2000,Georgia,1.336141
2000,Clemson,1.28372
2000,NC State,1.274794
2000,Colorado State,1.267911
2000,Georgia Tech,1.237845
2000,Ole Miss,1.230469
2000,USC,1.220052
2000,Minnesota,1.212012
2000,Penn State,1.19719
2000,TCU,1.189641
2000,Stanford,1.18515
2000,East Carolina,1.182258
2000,Arizona State,1.154232
2000,Arkansas,1.154084
2000,Southern Miss,1.148611
2000,UNLV,1.144185
2000,Texas,1.1214
2000,Iowa,1.117577
2000,Marshall,1.116567
2000,Air Force,1.097893
2000,Pittsburgh,1.087759
2000,Arizona,1.073012
2000,Boston College,1.055922
2000,Western Michigan,1.033239
2000,Louisville,0.987635
2000,Cincinnati,0.966691
2000,Syracuse,0.939363
2000,UTEP,0.928714
2000,California,0.91371
2000,Washington State,0.904466
2000,Illinois,0.892234
2000,Indiana,0.881291
2000,Fresno State,0.880278
2000,Alabama,0.874597
2000,North Carolina,0.858311
2000,BYU,0.84977
2000,San Jose State,0.841942
2000,Boise State,0.840965
2000,Virginia,0.839013
2000,Toledo,0.814584
2000,UAB,0.787404
2000,Texas Tech,0.782355
2000,Colorado,0.70621
2000,Ohio,0.695398
2000,Maryland,0.653746
2000,Kansas,0.615641
2000,New Mexico,0.602372
2000,Tulane,0.591435
2000,Utah,0.572342
2000,San Diego State,0.549128
2000,Tulsa,0.536795
2000,Miami (OH),0.520272
2000,Akron,0.515075
2000,Idaho,0.507724
2000,Memphis,0.505731
2000,Kentucky,0.500887
2000,Northern Illinois,0.493123
2000,Vanderbilt,0.480415
2000,Rice,0.479031
2000,Ball State,0.472137
2000,Temple,0.465036
2000,SMU,0.441378
2000,Central Michigan,0.427219
2000,Houston,0.419186
2000,Oklahoma State,0.416237
2000,Missouri,0.411916
2000,Hawai'i,0.402462
2000,Nevada,0.390105
2000,UCF,0.383719
2000,Rutgers,0.376053
2000,Baylor,0.370119
2000,New Mexico State,0.359132
2000,Utah State,0.345442
2000,Eastern Michigan,0.340513
2000,Wake Forest,0.324118
2000,Wyoming,0.315921
2000,Middle Tennessee,0.313662
2000,Duke,0.310026
2000,Bowling Green,0.301596
2000,Army,0.296227
2000,Arkansas State,0.285392
2000,Navy,0.282675
2000,Louisiana Tech,0.280247
2000,Kent State,0.268583
2000,North Texas,0.247336
2000,Buffalo,0.233479
2000,UConn,0.210961
2000,ULM,0.136573
2000,Louisiana,0.128589
2000,South Florida,0.095544
2001,Tennessee,3.391481
2001,Florida,2.903519
2001,Miami (FL),2.863723
2001,LSU,2.73623
2001,Texas,2.33732
2001,Oklahoma,2.328045
2001,Oregon,2.317036
2001,North Carolina,2.230173
2001,Florida State,2.180333
2001,Georgia Tech,2.118592
2001,Maryland,2.116679
2001,Colorado,2.0818
2001,South Carolina,2.013176
2001,Syracuse,1.984563
2001,Illinois,1.954819
2001,Georgia,1.937277
2001,Nebraska,1.906047
2001,Michigan,1.858785
2001,Michigan State,1.795056
2001,Stanford,1.788452
2001,Auburn,1.783201
2001,Washington State,1.677304
2001,Washington,1.644186
2001,Fresno State,1.611909
2001,Boston College,1.567948
2001,Alabama,1.528216
2001,Arkansas,1.515111
2001,Clemson,1.485626
2001,NC State,1.444282
2001,Iowa,1.442009
2001,Ohio State,1.408643
2001,UCLA,1.358512
2001,Louisville,1.316275
2001,Penn State,1.288933
2001,Purdue,1.275002
2001,Texas A&M,1.236713
2001,Wisconsin,1.222728
2001,Pittsburgh,1.21495
2001,Indiana,1.214242
2001,BYU,1.2103
2001,Virginia,1.209914
2001,Ole Miss,1.200161
2001,Virginia Tech,1.155106
2001,Wake Forest,1.090752
2001,Utah,1.083671
2001,Kansas State,1.055334
2001,Texas Tech,1.032066
2001,Notre Dame,1.021197
2001,Hawai'i,0.984483
2001,USC,0.966651
2001,Iowa State,0.941398
2001,Boise State,0.893391
2001,Colorado State,0.889437
2001,Marshall,0.880965
2001,Toledo,0.878013
2001,Oklahoma State,0.842972
2001,Northwestern,0.839252
2001,Louisiana Tech,0.819626
2001,Minnesota,0.802976
2001,Rice,0.763116
2001,Mississippi State,0.757237
2001,TCU,0.743312
2001,Oregon State,0.741684
2001,Bowling Green,0.739798
2001,East Carolina,0.65218
2001,Miami (OH),0.64121
2001,Southern Miss,0.624583
2001,Kentucky,0.60701
2001,Missouri,0.591732
2001,Arizona,0.584301
2001,Arizona State,0.562782
2001,Cincinnati,0.550462
2001,Kansas,0.545682
2001,Air Force,0.54161
2001,Middle Tennessee,0.515476
2001,UAB,0.498571
2001,SMU,0.497962
2001,New Mexico,0.495489
2001,West Virginia,0.492892
2001,Temple,0.484554
2001,Vanderbilt,0.481174
2001,Nevada,0.477079
2001,South Florida,0.47701
2001,Memphis,0.469028
2001,UCF,0.452547
2001,UNLV,0.450836
2001,Troy,0.44114
2001,North Texas,0.437265
2001,Kent State,0.433526
2001,California,0.428101
2001,Northern Illinois,0.425068
2001,San Jose State,0.424549
2001,Ball State,0.420696
2001,Duke,0.412349
2001,Baylor,0.410535
2001,Western Michigan,0.39105
2001,Tulane,0.381255
2001,New Mexico State,0.365271
2001,Utah State,0.362416
2001,San Diego State,0.359226
2001,Rutgers,0.343648
2001,Akron,0.329524
2001,Army,0.283532
2001,Houston,0.258815
2001,ULM,0.255319
2001,Wyoming,0.239089
2001,Tulsa,0.23075
2001,Central Michigan,0.219558
2001,Ohio,0.21935
2001,UTEP,0.218232
2001,Buffalo,0.218114
2001,Navy,0.216877
2001,Idaho,0.21233
2001,Arkansas State,0.200561
2001,UConn,0.196257
2001,Louisiana,0.183172
2001,Eastern Michigan,0.166542
2002,Ohio State,3.144836
2002,USC,2.784395
2002,Oklahoma,2.63451
2002,Georgia,2.543739
2002,NC State,2.209123
2002,Florida State,2.188319
2002,Michigan,2.132843
2002,Miami (FL),2.105588
2002,Virginia,2.083492
2002,Notre Dame,2.052814
