game_id,season_year,week,date,season_type,home_team,away_team,home_conference,away_conference,home_score,away_score,went_ot,game_type,game_phase,neutral_site,notes
322432006,2012,1,2012-08-30,regular,Akron,UCF,Mid-American,Conference USA,14,56,0,regular,regular,0,
322432050,2012,1,2012-08-30,regular,Ball State,Eastern Michigan,Mid-American,Mid-American,37,26,0,regular,regular,0,
322430238,2012,1,2012-08-30,regular,Vanderbilt,South Carolina,SEC,SEC,13,17,0,regular,regular,0,
322430041,2012,1,2012-08-30,regular,UConn,Massachusetts,Big East,Mid-American,37,0,0,regular,regular,0,
322430242,2012,1,2012-08-30,regular,Rice,UCLA,Conference USA,Pac-12,24,49,0,regular,regular,0,
322430252,2012,1,2012-08-31,regular,BYU,Washington State,FBS Independents,Pac-12,30,6,0,regular,regular,0,
322432439,2012,1,2012-08-31,regular,UNLV,Minnesota,Mountain West,Big Ten,27,30,1,regular,regular,0,
322442633,2012,1,2012-08-31,regular,Tennessee,NC State,SEC,ACC,35,21,0,regular,regular,1,
322440127,2012,1,2012-09-01,regular,Michigan State,Boise State,Big Ten,Mountain West,17,13,0,regular,regular,0,
322440024,2012,1,2012-09-01,regular,Stanford,San José State,Pac-12,Western Athletic,20,17,0,regular,regular,0,
322452426,2012,1,2012-09-01,regular,Navy,Notre Dame,FBS Independents,FBS Independents,10,50,0,regular,regular,1,
322450194,2012,1,2012-09-01,regular,Ohio State,Miami (OH),Big Ten,Mid-American,56,10,0,regular,regular,0,
322450183,2012,1,2012-09-01,regular,Syracuse,Northwestern,Big East,Big Ten,41,42,0,regular,regular,0,
322450213,2012,1,2012-09-01,regular,Penn State,Ohio,Big Ten,Mid-American,14,24,0,regular,regular,0,
322450061,2012,1,2012-09-01,regular,Georgia,Buffalo,SEC,Mid-American,45,23,0,regular,regular,0,
322450356,2012,1,2012-09-01,regular,Illinois,Western Michigan,Big Ten,Mid-American,24,7,0,regular,regular,0,
322450277,2012,1,2012-09-01,regular,West Virginia,Marshall,Big 12,Conference USA,69,34,0,regular,regular,0,
322450005,2012,1,2012-09-01,regular,UAB,Troy,Conference USA,Sun Belt,29,39,0,regular,regular,0,
322450006,2012,1,2012-09-01,regular,South Alabama,UTSA,Sun Belt,Western Athletic,31,33,0,regular,regular,0,
322450025,2012,1,2012-09-01,regular,California,Nevada,Pac-12,Mountain West,24,31,0,regular,regular,0,
322450103,2012,1,2012-09-01,regular,Boston College,Miami,ACC,ACC,32,41,0,regular,regular,0,
322450057,2012,1,2012-09-01,regular,Florida,Bowling Green,SEC,Mid-American,27,14,0,regular,regular,0,
322450066,2012,1,2012-09-01,regular,Iowa State,Tulsa,Big 12,Conference USA,38,23,0,regular,regular,0,
322452459,2012,1,2012-09-01,regular,Northern Illinois,Iowa,Mid-American,Big Ten,17,18,0,regular,regular,1,
322450158,2012,1,2012-09-01,regular,Nebraska,Southern Miss,Big Ten,Conference USA,49,20,0,regular,regular,0,
322450038,2012,1,2012-09-01,regular,Colorado,Colorado State,Pac-12,Mountain West,17,22,0,regular,regular,1,
322450002,2012,1,2012-09-01,regular,Auburn,Clemson,SEC,ACC,19,26,0,regular,regular,1,
322450150,2012,1,2012-09-01,regular,Duke,Florida International,ACC,Sun Belt,46,26,0,regular,regular,0,
322450099,2012,1,2012-09-01,regular,LSU,North Texas,SEC,Sun Belt,41,14,0,regular,regular,0,
322450030,2012,1,2012-09-01,regular,USC,Hawai'i,Pac-12,Mountain West,49,10,0,regular,regular,0,
322452655,2012,1,2012-09-02,regular,Tulane,Rutgers,Conference USA,Big East,12,24,0,regular,regular,0,
322450248,2012,1,2012-09-02,regular,Houston,Texas State,Conference USA,Western Athletic,13,30,0,regular,regular,0,
322450333,2012,1,2012-09-02,regular,Alabama,Michigan,SEC,Big Ten,41,14,0,regular,regular,1,
322450251,2012,1,2012-09-02,regular,Texas,Wyoming,Big 12,Mountain West,37,17,0,regular,regular,0,
322450012,2012,1,2012-09-02,regular,Arizona,Toledo,Pac-12,Mid-American,24,17,1,regular,regular,0,
322450264,2012,1,2012-09-02,regular,Washington,San Diego State,Pac-12,Mountain West,21,12,0,regular,regular,0,
322452483,2012,1,2012-09-02,regular,Oregon,Arkansas State,Pac-12,Sun Belt,57,34,0,regular,regular,0,
322452638,2012,1,2012-09-02,regular,UTEP,Oklahoma,Conference USA,Big 12,7,24,0,regular,regular,0,
322460097,2012,1,2012-09-02,regular,Louisville,Kentucky,Big East,SEC,32,14,0,regular,regular,0,
322460239,2012,1,2012-09-02,regular,Baylor,SMU,Big 12,Conference USA,59,24,0,regular,regular,0,
322470259,2012,1,2012-09-04,regular,Virginia Tech,Georgia Tech,ACC,ACC,20,17,1,regular,regular,0,
322502132,2012,2,2012-09-07,regular,Cincinnati,Pittsburgh,Big East,Big East,34,10,0,regular,regular,0,
322510328,2012,2,2012-09-08,regular,Utah State,Utah,Western Athletic,Pac-12,27,20,1,regular,regular,0,
322520202,2012,2,2012-09-08,regular,Tulsa,Tulane,Conference USA,Conference USA,45,10,0,regular,regular,0,
322520218,2012,2,2012-09-08,regular,Temple,Maryland,Big East,ACC,27,36,0,regular,regular,0,
322522306,2012,2,2012-09-08,regular,Kansas State,Miami,Big 12,ACC,52,13,0,regular,regular,0,
322520194,2012,2,2012-09-08,regular,Ohio State,UCF,Big Ten,Conference USA,31,16,0,regular,regular,0,
322520258,2012,2,2012-09-08,regular,Virginia,Penn State,ACC,Big Ten,17,16,0,regular,regular,0,
322520041,2012,2,2012-09-08,regular,UConn,NC State,Big East,ACC,7,10,0,regular,regular,0,
322520344,2012,2,2012-09-08,regular,Mississippi State,Auburn,SEC,SEC,28,10,0,regular,regular,0,
322522579,2012,2,2012-09-08,regular,South Carolina,East Carolina,SEC,Conference USA,48,10,0,regular,regular,0,
322520228,2012,2,2012-09-08,regular,Clemson,Ball State,ACC,Mid-American,52,27,0,regular,regular,0,
322522117,2012,2,2012-09-08,regular,Central Michigan,Michigan State,Mid-American,Big Ten,7,41,0,regular,regular,0,
322520333,2012,2,2012-09-08,regular,Alabama,Western Kentucky,SEC,Sun Belt,35,0,0,regular,regular,0,
322520113,2012,2,2012-09-08,regular,Massachusetts,Indiana,Mid-American,Big Ten,6,45,0,regular,regular,0,
322520183,2012,2,2012-09-08,regular,Syracuse,USC,Big East,Pac-12,29,42,0,regular,regular,1,
322520245,2012,2,2012-09-08,regular,Texas A&M,Florida,SEC,SEC,17,20,0,regular,regular,0,
322520087,2012,2,2012-09-08,regular,Notre Dame,Purdue,FBS Independents,Big Ten,20,17,0,regular,regular,0,
322520130,2012,2,2012-09-08,regular,Michigan,Air Force,Big Ten,Mountain West,31,25,0,regular,regular,0,
322522305,2012,2,2012-09-08,regular,Kansas,Rice,Big 12,Conference USA,24,25,0,regular,regular,0,
