game_id,season_year,week,date,season_type,home_team,away_team,home_score,away_score,went_ot,game_type,neutral_site,notes
400548974,2014,1,2014-08-23,postseason,Eastern Washington,Sam Houston,56,35,0,regular,0,
400548403,2014,1,2014-08-27,postseason,Georgia State,Abilene Christian,38,37,0,regular,1,
400548402,2014,1,2014-08-28,postseason,South Carolina,Texas A&M,28,52,0,regular,0,
400558005,2014,1,2014-08-28,postseason,Stony Brook,Bryant,7,13,0,regular,0,
400558114,2014,1,2014-08-28,postseason,Campbell,Charlotte,9,33,0,regular,0,
400558134,2014,1,2014-08-28,postseason,Mercer,Reinhardt University,45,42,0,regular,0,
400548092,2014,1,2014-08-28,postseason,Central Michigan,Chattanooga,20,16,0,regular,0,
400548090,2014,1,2014-08-28,postseason,Akron,Howard,41,0,0,regular,0,
400547960,2014,1,2014-08-28,postseason,Minnesota,Eastern Illinois,42,20,0,regular,0,
400558474,2014,1,2014-08-28,postseason,Robert Morris,Eastern Kentucky,10,29,0,regular,0,
400557394,2014,1,2014-08-28,postseason,Charleston Southern,Point University,61,9,0,regular,0,
400557454,2014,1,2014-08-28,postseason,Northwestern State,Missouri State,27,34,0,regular,0,
400547829,2014,1,2014-08-28,postseason,UL Monroe,Wake Forest,17,10,0,regular,0,
400548091,2014,1,2014-08-28,postseason,Northern Illinois,Presbyterian,55,3,0,regular,0,
400559171,2014,1,2014-08-28,postseason,Southeast Missouri State,St. Louis,77,0,0,regular,1,
400548256,2014,1,2014-08-28,postseason,Utah,Idaho State,56,14,0,regular,0,
400557455,2014,1,2014-08-28,postseason,Western Illinois,Valparaiso,45,6,0,regular,0,
400561376,2014,1,2014-08-29,postseason,Tennessee Tech,Kentucky Christian,33,7,0,regular,0,
400548169,2014,1,2014-08-29,postseason,Ole Miss,Boise State,35,13,0,regular,1,
400577465,2014,1,2014-08-29,postseason,Southern Illinois,Taylor,45,0,0,regular,0,
400559170,2014,1,2014-08-29,postseason,Murray State,Union College,73,26,0,regular,0,
400547647,2014,1,2014-08-29,postseason,Tulsa,Tulane,38,31,0,regular,0,
400548404,2014,1,2014-08-29,postseason,New Mexico State,Cal Poly,28,10,0,regular,0,
400553383,2014,1,2014-08-29,postseason,San José State,North Dakota,42,10,0,regular,0,
400547993,2014,1,2014-08-29,postseason,Washington State,Rutgers,38,41,0,regular,0,
400548255,2014,1,2014-08-29,postseason,Arizona State,Weber State,45,14,0,regular,0,
400547640,2014,1,2014-08-29,postseason,Vanderbilt,Temple,7,37,0,regular,0,
400547641,2014,1,2014-08-29,postseason,UConn,BYU,10,35,0,regular,0,
400548003,2014,1,2014-08-29,postseason,Western Kentucky,Bowling Green,59,31,0,regular,0,
400547952,2014,1,2014-08-29,postseason,Michigan State,Jacksonville State,45,7,0,regular,0,
400547815,2014,1,2014-08-29,postseason,Syracuse,Villanova,27,26,0,regular,0,
400547644,2014,1,2014-08-30,postseason,Houston,UTSA,7,27,0,regular,0,
400548171,2014,1,2014-08-30,postseason,Colorado,Colorado State,17,31,0,regular,1,
400548177,2014,1,2014-08-30,postseason,Arizona,UNLV,58,13,0,regular,0,
400547642,2014,1,2014-08-30,postseason,UCF,Penn State,24,26,0,regular,1,
400547928,2014,1,2014-08-30,postseason,Iowa,Northern Iowa,31,23,0,regular,0,
400548010,2014,1,2014-08-30,postseason,UAB,Troy,48,10,0,regular,0,
400547840,2014,1,2014-08-30,postseason,Iowa State,North Dakota State,14,34,0,regular,0,
400547916,2014,1,2014-08-30,postseason,Indiana,Indiana State,28,10,0,regular,0,
400547904,2014,1,2014-08-30,postseason,Illinois,Youngstown State,28,17,0,regular,0,
400558476,2014,1,2014-08-30,postseason,Georgetown,Wagner,3,21,0,regular,0,
400547808,2014,1,2014-08-30,postseason,Pittsburgh,Delaware,62,0,0,regular,0,
400547820,2014,1,2014-08-30,postseason,Virginia,UCLA,20,28,0,regular,0,
400547982,2014,1,2014-08-30,postseason,Navy,Ohio State,17,34,0,regular,1,
400547988,2014,1,2014-08-30,postseason,Purdue,Western Michigan,43,34,0,regular,0,
400547943,2014,1,2014-08-30,postseason,Michigan,App State,52,14,0,regular,0,
