team_name,conference_real,is_fbs
Air Force,Mountain West,1
Akron,Mid-American,1
Alabama,SEC,1
Arizona,Big 12,1
Arizona State,Big 12,1
Arkansas,SEC,1
Arkansas State,Sun Belt,1
Army,American Athletic,1
Auburn,SEC,1
BYU,Big 12,1
Ball State,Mid-American,1
Baylor,Big 12,1
Boise State,Pac-12,1
Boston College,ACC,1
Bowling Green,Mid-American,1
Buffalo,Mid-American,1
California,ACC,1
Central Michigan,Mid-American,1
Charlotte,American Athletic,1
Cincinnati,Big 12,1
Clemson,ACC,1
Coastal Carolina,Sun Belt,1
Colorado,Big 12,1
Colorado State,Pac-12,1
Delaware,Conference USA,1
Duke,ACC,1
East Carolina,American Athletic,1
Eastern Michigan,Mid-American,1
Florida,SEC,1
Florida State,ACC,1
Fresno State,Pac-12,1
Georgia,SEC,1
Georgia Southern,Sun Belt,1
Georgia State,Sun Belt,1
Georgia Tech,ACC,1
Hawai'i,Mountain West,1
Houston,Big 12,1
Illinois,Big Ten,1
Indiana,Big Ten,1
Iowa,Big Ten,1
Iowa State,Big 12,1
Jacksonville State,Conference USA,1
James Madison,Sun Belt,1
Kansas,Big 12,1
Kansas State,Big 12,1
Kennesaw State,Conference USA,1
Kent State,Mid-American,1
Kentucky,SEC,1
LSU,SEC,1
Liberty,Conference USA,1
Louisiana,Sun Belt,1
Louisiana Tech,Sun Belt,1
Louisville,ACC,1
Marshall,Sun Belt,1
Maryland,Big Ten,1
Massachusetts,Mid-American,1
Memphis,American Athletic,1
Miami (OH),Mid-American,1
Michigan,Big Ten,1
Michigan State,Big Ten,1
Middle Tennessee,Conference USA,1
Minnesota,Big Ten,1
Mississippi State,SEC,1
Missouri,SEC,1
Missouri State,Conference USA,1
NC State,ACC,1
Navy,American Athletic,1
Nebraska,Big Ten,1
Nevada,Mountain West,1
New Mexico,Mountain West,1
New Mexico State,Conference USA,1
North Carolina,ACC,1
North Texas,American Athletic,1
Northern Illinois,Mountain West,1
Northwestern,Big Ten,1
Notre Dame,FBS Independents,1
Ohio,Mid-American,1
Ohio State,Big Ten,1
Oklahoma,SEC,1
Oklahoma State,Big 12,1
Old Dominion,Sun Belt,1
Ole Miss,SEC,1
Oregon,Big Ten,1
Oregon State,Pac-12,1
Penn State,Big Ten,1
Pittsburgh,ACC,1
Purdue,Big Ten,1
Rice,American Athletic,1
Rutgers,Big Ten,1
SMU,ACC,1
Sam Houston,Conference USA,1
San Diego State,Pac-12,1
South Alabama,Sun Belt,1
South Carolina,SEC,1
South Florida,American Athletic,1
Southern Miss,Sun Belt,1
Stanford,ACC,1
Syracuse,ACC,1
TCU,Big 12,1
Temple,American Athletic,1
Tennessee,SEC,1
Texas,SEC,1
Texas A&M,SEC,1
Texas State,Pac-12,1
Texas Tech,Big 12,1
Toledo,Mid-American,1
Troy,Sun Belt,1
Tulane,American Athletic,1
Tulsa,American Athletic,1
UAB,American Athletic,1
UCF,Big 12,1
UCLA,Big Ten,1
UConn,FBS Independents,1
UNLV,Mountain West,1
USC,Big Ten,1
UTEP,Mountain West,1
UTSA,American Athletic,1
Utah,Big 12,1
Utah State,Pac-12,1
Vanderbilt,SEC,1
Virginia,ACC,1
Virginia Tech,ACC,1
Wake Forest,ACC,1
Washington,Big Ten,1
Washington State,Pac-12,1
West Virginia,Big 12,1
Western Kentucky,Conference USA,1
Western Michigan,Mid-American,1
Wisconsin,Big Ten,1
Wyoming,Mountain West,1
