season_year,season_type,week,poll,rank,school,conference,first_place_votes,points
2026,regular,1,ap,1,Ohio State,Big Ten,40,1672
2026,regular,1,ap,2,Oregon,Big Ten,14,1597
2026,regular,1,ap,3,Georgia,SEC,0,1513
2026,regular,1,ap,4,Notre Dame,FBS Independents,6,1510
2026,regular,1,ap,5,Texas,SEC,0,1483
2026,regular,1,ap,6,Indiana,Big Ten,8,1440
2026,regular,1,ap,7,Miami,ACC,1,1379
2026,regular,1,ap,8,Texas A&M,SEC,0,1131
2026,regular,1,ap,9,Ole Miss,SEC,0,1102
2026,regular,1,ap,10,Oklahoma,SEC,0,1047
2026,regular,1,ap,11,LSU,SEC,0,988
2026,regular,1,ap,12,Texas Tech,Big 12,0,983
2026,regular,1,ap,13,Alabama,SEC,0,904
2026,regular,1,ap,14,USC,Big Ten,0,839
2026,regular,1,ap,14,BYU,Big 12,0,839
2026,regular,1,ap,16,Michigan,Big Ten,0,718
2026,regular,1,ap,17,Washington,Big Ten,0,501
2026,regular,1,ap,18,Penn State,Big Ten,0,482
2026,regular,1,ap,19,SMU,ACC,0,434
2026,regular,1,ap,20,Tennessee,SEC,0,394
2026,regular,1,ap,21,Utah,Big 12,0,304
2026,regular,1,ap,22,Iowa,Big Ten,0,260
2026,regular,1,ap,23,Houston,Big 12,0,252
2026,regular,1,ap,24,Louisville,ACC,0,194
2026,regular,1,ap,25,Missouri,SEC,0,117
2026,regular,4,ap,1,Texas,SEC,58,1706
2026,regular,4,ap,2,Georgia,SEC,3,1580
2026,regular,4,ap,3,Notre Dame,FBS Independents,0,1517
2026,regular,4,ap,4,Ole Miss,SEC,3,1488
2026,regular,4,ap,5,Indiana,Big Ten,4,1467
2026,regular,4,ap,6,Miami,ACC,1,1445
2026,regular,4,ap,7,Ohio State,Big Ten,0,1415
2026,regular,4,ap,8,Alabama,SEC,0,1182
2026,regular,4,ap,9,BYU,Big 12,0,1090
2026,regular,4,ap,10,LSU,SEC,0,1078
2026,regular,4,ap,11,Texas Tech,Big 12,0,1067
2026,regular,4,ap,12,USC,Big Ten,0,907
2026,regular,4,ap,13,Penn State,Big Ten,0,850
2026,regular,4,ap,14,Tennessee,SEC,0,826
2026,regular,4,ap,15,Utah,Big 12,0,752
2026,regular,4,ap,16,Louisville,ACC,0,692
2026,regular,4,ap,17,Iowa,Big Ten,0,561
2026,regular,4,ap,18,Michigan,Big Ten,0,432
2026,regular,4,ap,19,Missouri,SEC,0,369
2026,regular,4,ap,20,Oregon,Big Ten,0,364
2026,regular,4,ap,21,Florida,SEC,0,269
2026,regular,4,ap,22,SMU,ACC,0,212
2026,regular,4,ap,23,Texas A&M,SEC,0,202
2026,regular,4,ap,24,Mississippi State,SEC,0,179
2026,regular,4,ap,25,Houston,Big 12,0,127
2026,regular,2,ap,1,Ohio State,Big Ten,46,1684
2026,regular,2,ap,2,Georgia,SEC,0,1532
2026,regular,2,ap,3,Notre Dame,FBS Independents,4,1512
2026,regular,2,ap,4,Texas,SEC,2,1462
2026,regular,2,ap,5,Indiana,Big Ten,8,1428
2026,regular,2,ap,6,Oregon,Big Ten,3,1422
2026,regular,2,ap,7,Miami,ACC,1,1405
2026,regular,2,ap,8,LSU,SEC,5,1315
2026,regular,2,ap,9,Ole Miss,SEC,0,1154
2026,regular,2,ap,10,Texas A&M,SEC,0,1079
2026,regular,2,ap,11,Oklahoma,SEC,0,1039
2026,regular,2,ap,12,Alabama,SEC,0,910
2026,regular,2,ap,13,Texas Tech,Big 12,0,900
2026,regular,2,ap,14,USC,Big Ten,0,861
2026,regular,2,ap,15,BYU,Big 12,0,840
2026,regular,2,ap,16,Penn State,Big Ten,0,621
2026,regular,2,ap,17,SMU,ACC,0,501
2026,regular,2,ap,18,Tennessee,SEC,0,491
2026,regular,2,ap,19,Washington,Big Ten,0,489
2026,regular,2,ap,20,Utah,Big 12,0,381
2026,regular,2,ap,21,Iowa,Big Ten,0,369
2026,regular,2,ap,22,Houston,Big 12,0,214
2026,regular,2,ap,23,Missouri,SEC,0,182
2026,regular,2,ap,24,Louisville,ACC,0,163
2026,regular,2,ap,25,Virginia,ACC,0,89
2026,regular,3,ap,1,Texas,SEC,56,1678
2026,regular,3,ap,2,Georgia,SEC,3,1551
2026,regular,3,ap,3,Notre Dame,FBS Independents,1,1531
2026,regular,3,ap,4,Indiana,Big Ten,3,1466
2026,regular,3,ap,5,Miami,ACC,4,1452
2026,regular,3,ap,6,Ohio State,Big Ten,0,1407
2026,regular,3,ap,7,LSU,SEC,1,1334
2026,regular,3,ap,8,Ole Miss,SEC,0,1216
2026,regular,3,ap,9,Texas A&M,SEC,0,1165
2026,regular,3,ap,10,Alabama,SEC,0,1068
2026,regular,3,ap,11,BYU,Big 12,0,966
2026,regular,3,ap,12,USC,Big Ten,0,944
2026,regular,3,ap,13,Texas Tech,Big 12,0,910
2026,regular,3,ap,14,Penn State,Big Ten,0,692
2026,regular,3,ap,15,Tennessee,SEC,0,676
2026,regular,3,ap,16,SMU,ACC,0,636
2026,regular,3,ap,17,Utah,Big 12,0,558
2026,regular,3,ap,18,Iowa,Big Ten,0,391
2026,regular,3,ap,19,Michigan,Big Ten,0,382
2026,regular,3,ap,20,Missouri,SEC,0,344
2026,regular,3,ap,21,Oregon,Big Ten,0,324
2026,regular,3,ap,22,Houston,Big 12,0,292
2026,regular,3,ap,23,Louisville,ACC,0,244
2026,regular,3,ap,24,Oklahoma,SEC,0,222
2026,regular,3,ap,25,Virginia,ACC,0,182
