season_year,team_name,system,title_type,status,notes
1980,Georgia,ap,final_poll,awarded,
1980,Georgia,coaches,final_poll,awarded,
1981,Clemson,ap,final_poll,awarded,
1981,Clemson,coaches,final_poll,awarded,
1982,Penn State,ap,final_poll,awarded,
1982,Penn State,coaches,final_poll,awarded,
1983,Miami (FL),ap,final_poll,awarded,
1983,Miami (FL),coaches,final_poll,awarded,
1984,BYU,ap,final_poll,awarded,
1984,BYU,coaches,final_poll,awarded,
1985,Oklahoma,ap,final_poll,awarded,
1985,Oklahoma,coaches,final_poll,awarded,
1986,Penn State,ap,final_poll,awarded,
1986,Penn State,coaches,final_poll,awarded,
1987,Miami (FL),ap,final_poll,awarded,
1987,Miami (FL),coaches,final_poll,awarded,
1988,Notre Dame,ap,final_poll,awarded,
1988,Notre Dame,coaches,final_poll,awarded,
1989,Miami (FL),ap,final_poll,awarded,
1989,Miami (FL),coaches,final_poll,awarded,
1990,Colorado,ap,final_poll,awarded,Split title: Coaches poll champion was Georgia Tech
1990,Georgia Tech,coaches,final_poll,awarded,Split title: AP poll champion was Colorado
1991,Miami (FL),ap,final_poll,awarded,Split title: Coaches poll champion was Washington
1991,Washington,coaches,final_poll,awarded,Split title: AP poll champion was Miami (FL)
1992,Alabama,ap,final_poll,awarded,
1992,Alabama,coaches,final_poll,awarded,
1993,Florida State,ap,final_poll,awarded,
1993,Florida State,coaches,final_poll,awarded,
1994,Nebraska,ap,final_poll,awarded,
1994,Nebraska,coaches,final_poll,awarded,
1995,Nebraska,ap,final_poll,awarded,
1995,Nebraska,coaches,final_poll,awarded,
1996,Florida,ap,final_poll,awarded,
1996,Florida,coaches,final_poll,awarded,
1997,Michigan,ap,final_poll,awarded,Split title: Coaches poll champion was Nebraska
1997,Nebraska,coaches,final_poll,awarded,Split title: AP poll champion was Michigan
1998,Tennessee,bcs,championship_game,awarded,
1999,Florida State,bcs,championship_game,awarded,
2000,Oklahoma,bcs,championship_game,awarded,
2001,Miami (FL),bcs,championship_game,awarded,
2002,Ohio State,bcs,championship_game,awarded,
2003,LSU,bcs,championship_game,awarded,Won the BCS title game; USC finished #1 in the AP poll
2003,USC,ap,final_poll,awarded,AP poll champion; LSU won the BCS title game
2004,USC,bcs,championship_game,vacated,BCS title vacated in 2011 (NCAA sanctions)
2004,USC,ap,final_poll,awarded,AP did not vacate its 2004 title
2005,Texas,bcs,championship_game,awarded,
2006,Florida,bcs,championship_game,awarded,
2007,LSU,bcs,championship_game,awarded,
2008,Florida,bcs,championship_game,awarded,
2009,Alabama,bcs,championship_game,awarded,
2010,Auburn,bcs,championship_game,awarded,
2011,Alabama,bcs,championship_game,awarded,
2012,Alabama,bcs,championship_game,awarded,
2013,Florida State,bcs,championship_game,awarded,
2014,Ohio State,cfp,championship_game,awarded,
2015,Alabama,cfp,championship_game,awarded,
2016,Clemson,cfp,championship_game,awarded,
2017,Alabama,cfp,championship_game,awarded,
2018,Clemson,cfp,championship_game,awarded,
2019,LSU,cfp,championship_game,awarded,
2020,Alabama,cfp,championship_game,awarded,
2021,Georgia,cfp,championship_game,awarded,
2022,Georgia,cfp,championship_game,awarded,
2023,Michigan,cfp,championship_game,awarded,
2024,Ohio State,cfp,championship_game,awarded,
2025,Indiana,cfp,championship_game,awarded,
